MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
ABUWOJ_clean_min_charges,5.52E-05,5.29E-05,5.10E-05,5.24E-05,5.29E-05,6.05E-05,4.90E-05,5.82E-05,6.06E-05,6.07E-05,,
ACOLIP_clean_min_charges,0.000684509,0.000565626,0.000633766,0.000546144,0.000558084,0.000633766,0.000546144,0.000558084,0.000633766,0.000577049,,
AGARUW_clean_min_charges,1.71E-05,0.00126217,0.00149189,0.001202,0.0012276,0.000992652,0.00118005,0.00150789,0.000830853,0.00118881,,
AHOKIR01_clean_min_charges,0.00185818,0.000671291,0.000813419,0.000784216,0.000863892,0.000819653,0.000629727,0.00054247,0.000580127,0.000712289,,
AMILUE_clean_min_charges,9.68E-05,0.000229222,0.000218642,0.000229222,0.000209968,0.000207215,0.000229222,0.000178403,0.000229222,0.000229222,,
AMIMEP_clean_min_charges,0.000127009,0.000211774,0.000153152,0.000153056,0.000180795,0.000203881,0.000184244,0.000148466,0.000228518,0.000182517,,
AMUCOB_clean_min_charges,3.15E-05,5.94E-05,5.86E-05,5.92E-05,6.04E-05,5.97E-05,5.74E-05,5.85E-05,5.84E-05,5.97E-05,,
ANUGIA_clean_min_charges,1.71E-05,1.98E-05,2.02E-05,1.96E-05,1.98E-05,1.93E-05,1.96E-05,1.98E-05,1.94E-05,1.91E-05,,
APEBED_clean_min_charges,9.93E-05,0.000371217,0.000367556,0.000410744,0.000341545,0.000374449,0.000416062,0.000383425,0.000394744,0.000388884,,
AROFET_clean_min_charges,0.00020024,0.000236269,0.00031557,0.000281929,0.000291395,0.000330916,0.000244069,0.000386587,0.000256308,0.000297039,,
ATOXEN_clean_min_charges,6.29E-05,0.000161741,0.000156396,0.000165169,0.000180442,0.000165169,0.000180442,0.000165169,0.000178013,0.000180442,,
AVAQIX_clean_min_charges,0.000295395,9.08E-05,0.000110599,0.000108209,9.60E-05,0.000130691,0.000107921,0.000109359,8.77E-05,0.000110487,,
AVIMOI_clean_min_charges,0.000182663,0.000496554,0.000528839,0.000539366,0.000747921,0.00066781,0.000598524,0.000623701,0.000579515,0.000468429,,
BAEDTA01_clean_min_charges,8.36E-05,0.00327116,0.00387519,0.00312675,0.00387519,0.00312675,0.00387519,0.00387519,0.00312675,0.00387519,,
BALMUW01_clean_min_charges,0.00040181,0.0220557,0.0167107,0.0162812,0.0189192,0.0403146,0.0180628,0.0193594,0.0181021,0.0179257,,
BALMUW_clean_min_charges,0.00054943,0.00470922,0.00449389,0.00540017,0.00505724,0.00544852,0.00561775,0.00490895,0.00510278,0.00502913,,
BARZAW_clean_min_charges,2.45E-05,7.05E-05,4.88E-05,5.82E-05,4.04E-05,5.30E-05,4.65E-05,6.00E-05,3.68E-05,4.14E-05,,
BENXUP_clean_min_charges,0.000131085,0.000372767,0.000361964,0.000380594,0.000372767,0.000361964,0.000380594,0.000372767,0.000361964,0.000380594,,
BERGAI_clean_min_charges,0.000167285,0.000794599,0.000771261,0.000811864,0.000731334,0.00073802,0.000849558,0.000770115,0.000706191,0.000781699,,
BIBBUL_clean_min_charges,8.23E-05,0.000854148,0.000806066,0.000753669,0.00089961,0.000771052,0.000778736,0.000709944,0.00084939,0.000803788,,
BOJCIN_clean_min_charges,2.57E-05,3.08E-05,3.37E-05,3.15E-05,3.04E-05,3.04E-05,3.37E-05,3.04E-05,3.04E-05,3.52E-05,,
BONWAD_clean_min_charges,2.33E-06,1.97E-05,2.06E-05,2.13E-05,2.22E-05,1.86E-05,1.71E-05,1.90E-05,2.17E-05,2.12E-05,,
BONWIL_clean_min_charges,0.00134291,0.0931616,0.0383569,0.0782183,0.168016,0.0906588,0.100949,0.207784,0.082811,0.0724488,,
BOWQAG_clean_min_charges,9.80E-05,0.000120501,0.000128713,7.16E-05,8.74E-05,0.000152946,0.000117896,0.000147139,0.000136848,0.000135804,,
BUVXOG_clean_min_charges,1.17E-05,2.28E-05,2.17E-05,2.12E-05,2.14E-05,2.23E-05,2.16E-05,2.11E-05,2.21E-05,2.32E-05,,
CATART03_clean_min_charges,1.39E-05,0.202727,0.136649,0.175711,0.216551,0.169148,0.157909,0.205847,0.168513,0.168934,,
CEGFAW_clean_min_charges,1.58E-05,2.82E-05,2.86E-05,2.84E-05,2.71E-05,2.86E-05,2.77E-05,2.79E-05,2.84E-05,2.74E-05,,
CICYIX_clean_min_charges,1.68E-06,2.08E-05,3.22E-05,3.24E-05,1.99E-05,1.42E-05,2.13E-05,2.56E-05,2.27E-05,2.22E-05,,
CIGYAU_clean_min_charges,7.25E-05,1.79E-06,4.06E-06,2.31E-06,2.73E-06,2.48E-06,4.89E-06,2.09E-06,2.55E-06,2.58E-06,,
COGWEB_clean_min_charges,0.000246058,0.000512353,0.000558281,0.00046486,0.000474549,0.000497084,0.000469758,0.000594723,0.000494518,0.000496769,,
CUHPUR_clean_min_charges,4.51E-05,5.06E-05,4.64E-05,4.68E-05,4.57E-05,4.45E-05,4.69E-05,4.53E-05,4.42E-05,4.53E-05,,
