MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8
ABUWOJ_clean_min_charges,0.0085234,0.00539623,0.00523225,0.00540917,0.00574922,0.00577319,0.00565426,0.00560575,0.00563073,0.00518352
ACOLIP_clean_min_charges,0.00208563,0.24307,0.215165,0.23723,0.254794,0.215165,0.23723,0.254794,0.215165,0.204864
AGARUW_clean_min_charges,0.00807683,0.0227035,0.0227565,0.0227143,0.0222668,0.0227331,0.0225868,0.0225186,0.0222749,0.0220438
AHOKIR01_clean_min_charges,6.06E-10,1.55E-05,8.61E-06,3.53E-05,2.57E-05,1.35E-05,2.05E-06,2.76E-06,7.05E-06,1.74E-05
AMILUE_clean_min_charges,0.0262222,0.0281633,0.0015021,0.0281633,0.009093,0.0350649,0.0281633,0.00449294,0.009093,0.0350649
AMIMEP_clean_min_charges,0.0779945,0.00542623,0.0462155,0.0566485,0.188794,0.0563281,0.00181489,0.0128289,0.00732301,0.0320642
AMUCOB_clean_min_charges,1.33E-07,0.520199,0.479638,0.524784,0.483368,0.498881,0.465007,0.511056,0.498837,0.504751
ANUGIA_clean_min_charges,0.00025921,0.000376985,0.000381228,0.0003916,0.000393443,0.000353946,0.000380652,0.000385766,0.000388832,0.000360104
APEBED_clean_min_charges,0.00370382,0.00539629,0.00164322,0.00344254,0.00211328,0.00321043,0.00240584,0.00269832,0.00210949,0.00345815
AROFET_clean_min_charges,0.00615937,0.0150266,0.0136281,0.0164812,0.0137765,0.0149134,0.0147055,0.0165444,0.0140044,0.0165595
ATOXEN_clean_min_charges,0.00097654,0.000357774,0.00132392,0.00025708,0.000357774,0.00132392,0.000193956,0.00132392,0.000267905,0.00132392
AVAQIX_clean_min_charges,0.222469,0.0204042,0.0204114,0.0217895,0.0214297,0.0181005,0.0210056,0.0216567,0.0207254,0.0245541
AVIMOI_clean_min_charges,0.0480501,0.0942979,0.070229,0.367664,0.1552,0.0737358,0.0837048,0.0897461,0.0945464,0.123074
BAEDTA01_clean_min_charges,0.0110149,0.0423105,0.0419034,0.046573,0.0419034,0.046573,0.0419034,0.0419034,0.046573,0.0419034
BALMUW01_clean_min_charges,4.26E-17,0.00393848,0.00352152,0.00483738,0.00338308,0.00346625,0.00428404,0.00348687,0.00354174,0.00410595
BALMUW_clean_min_charges,1.68E-22,3.25E-07,1.91E-07,6.20E-07,3.31E-07,3.42E-06,8.54E-07,7.31E-07,1.78E-07,1.67E-07
BARZAW_clean_min_charges,0.0173024,0.181176,0.12532,0.160984,0.123759,0.142303,0.126099,0.127259,0.123711,0.137499
BENXUP_clean_min_charges,5.62E-10,0.293616,0.229154,0.224546,0.293616,0.229154,0.224546,0.293616,0.229154,0.224546
BERGAI_clean_min_charges,1.82723,3.72107,3.79453,4.14445,3.89858,3.58409,3.98302,3.48348,3.96637,4.42531
