MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
ABUWOJ_clean_min_charges,0.000295591,0.000114787,0.000113882,0.000114727,0.000118827,0.000117698,0.000117537,0.00011725,0.000116323,0.000113552,,
ACOLIP_clean_min_charges,0.000249236,0.00229069,0.00227018,0.00243134,0.0021986,0.00227018,0.00243134,0.0021986,0.00227018,0.00220924,,
AGARUW_clean_min_charges,0.000121367,0.000260161,0.000260931,0.000259145,0.000257381,0.000261128,0.000259144,0.000258377,0.000258448,0.000254642,,
AHOKIR01_clean_min_charges,2.83E-07,1.25E-05,1.32E-05,2.43E-05,2.02E-05,1.09E-05,1.24E-05,1.02E-05,1.34E-05,1.28E-05,,
AMILUE_clean_min_charges,0.000677435,0.000296786,0.000205524,0.000369041,0.000296786,0.000444298,0.000296786,0.000268718,0.000205524,0.000369041,,
AMIMEP_clean_min_charges,0.000933175,0.000282988,0.000284383,0.000228293,0.000492911,0.000290156,0.000154892,0.000180043,0.000253976,0.00031808,,
AMUCOB_clean_min_charges,1.61E-05,0.00124463,0.0011933,0.00124915,0.00120803,0.00122461,0.00116321,0.00122449,0.00120736,0.00121976,,
ANUGIA_clean_min_charges,4.15E-05,5.10E-05,5.18E-05,5.14E-05,5.11E-05,4.95E-05,5.10E-05,5.15E-05,5.11E-05,4.97E-05,,
APEBED_clean_min_charges,0.000342018,0.000433757,0.000319367,0.00036652,0.000330892,0.000341372,0.000369298,0.000313734,0.000334883,0.000367767,,
AROFET_clean_min_charges,0.000196292,0.000310125,0.000300312,0.000320438,0.000299012,0.00031677,0.000307986,0.000320444,0.000305983,0.000335869,,
ATOXEN_clean_min_charges,0.00025476,0.000508582,0.000407297,0.000422154,0.000407297,0.000422154,0.000542292,0.000508582,0.00054797,0.000508582,,
AVAQIX_clean_min_charges,0.00209779,0.000265098,0.00026485,0.000268044,0.000282065,0.000256496,0.000256003,0.000272984,0.000275057,0.0003003,,
AVIMOI_clean_min_charges,0.000534484,0.000933138,0.000791574,0.00127784,0.00116033,0.000777047,0.000737465,0.000865255,0.00081815,0.00128207,,
BAEDTA01_clean_min_charges,0.000850762,0.00397262,0.0041917,0.00397262,0.0041917,0.00397262,0.0041917,0.00397262,0.00411668,0.0041917,,
BALMUW01_clean_min_charges,7.88E-09,0.000301917,0.000295601,0.000326663,0.000302008,0.000290688,0.000323075,0.000304668,0.000304176,0.000311043,,
BALMUW_clean_min_charges,2.32E-10,1.63E-05,1.36E-05,1.64E-05,1.45E-05,1.74E-05,1.90E-05,1.54E-05,1.49E-05,1.41E-05,,
BARZAW_clean_min_charges,0.000149221,0.000444999,0.000371129,0.000418496,0.000369968,0.000506667,0.000386278,0.00042517,0.000344416,0.000413979,,
BENXUP_clean_min_charges,1.28E-05,0.00171381,0.00178757,0.00171381,0.00178757,0.00171381,0.00168588,0.00171381,0.00178757,0.00171381,,
BERGAI_clean_min_charges,0.00279889,0.00635098,0.00643162,0.00660889,0.00643347,0.00640899,0.00671456,0.00646523,0.00658158,0.00696053,,
BIBBUL_clean_min_charges,7.50E-07,0.000336893,0.000544686,0.000499203,0.00047697,0.000402115,0.000414478,0.000441431,0.000507989,0.000629177,,
BOJCIN_clean_min_charges,0.000231853,0.000364983,0.000455445,0.000377425,0.000365026,0.000385132,0.000396282,0.000365026,0.000385132,0.000455445,,
BONWAD_clean_min_charges,6.52E-13,6.00E-09,3.66E-08,2.21E-08,5.25E-08,1.71E-08,1.11E-08,7.56E-09,3.15E-08,9.33E-09,,
BONWIL_clean_min_charges,2.36E-07,0.00116915,0.000876431,0.000877975,0.00100364,0.000724475,0.00131444,0.000907137,0.00119869,0.000991942,,
BOWQAG_clean_min_charges,2.39E-08,0.000351166,0.000504483,0.000173699,9.76E-05,0.000214004,0.00023549,0.000216006,0.000190583,0.000312908,,
BUVXOG_clean_min_charges,9.68E-05,0.000276382,0.000251669,0.000257117,0.000251978,0.000264464,0.000256118,0.000253527,0.000258867,0.000270628,,
CATART03_clean_min_charges,8.94E-14,0.000193285,0.000215784,0.000200178,0.000180631,0.000200303,0.000225355,0.000211129,0.000217328,0.000174601,,
CEGFAW_clean_min_charges,0.000216924,0.000470157,0.000479393,0.000483178,0.000463019,0.000482061,0.000472578,0.00047391,0.000460977,0.000465067,,
CICYIX_clean_min_charges,1.34E-11,2.43E-08,4.06E-08,9.07E-08,1.05E-07,2.02E-08,3.47E-08,3.64E-08,4.81E-08,3.36E-08,,
CIGYAU_clean_min_charges,4.35E-06,4.64E-09,2.43E-08,1.16E-08,1.21E-06,4.22E-08,1.37E-09,1.53E-07,2.41E-07,1.43E-07,,
COGWEB_clean_min_charges,0.000202515,0.000373068,0.000365681,0.000387806,0.000390722,0.000382683,0.000370708,0.000365693,0.000415501,0.000388382,,
CUHPUR_clean_min_charges,6.93E-05,0.000111995,0.000116188,0.000110262,0.000110076,0.000112603,0.000112928,0.000112208,0.000112677,,,
CUNWEO_clean_min_charges,0.000101242,0.000172066,0.000177695,0.000172066,0.000177695,0.000172066,0.000172066,0.000177695,0.000172066,0.000177695,,
CUNXIS10_clean_min_charges,0.120567,4.14E-05,6.09E-05,6.03E-05,4.59E-05,6.80E-05,7.51E-05,7.31E-05,8.59E-05,6.92E-05,,
CUNXIS_clean_min_charges,0.130753,9.26E-05,0.000169421,0.000122297,9.94E-05,8.64E-05,0.000191058,0.000105237,0.000212158,0.000118538,,
CUTKOS_clean_min_charges,0.00152022,0.00205025,0.0024161,0.00211435,0.00197184,0.00235804,0.00216031,0.00215455,0.00214802,0.00229359,,
CUYHIO_clean_min_charges,1.55E-26,7.39E-06,4.79E-06,1.66E-05,2.28E-06,1.06E-06,1.10E-05,2.64E-05,3.06E-06,2.94E-05,,
DAGDIZ_clean_min_charges,0.000126998,0.000215176,0.000218521,0.000213783,0.00021395,0.000216871,0.000219933,0.000216871,0.000215772,0.000216871,,
DAJHUS_clean_min_charges,6.12E-05,0.000215562,0.00031341,0.000215562,0.000372745,0.000215562,0.000372745,0.000215562,0.000372745,0.000215562,,
DEGJIK_clean_min_charges,0.000831212,0.00115337,0.00107375,0.00114941,0.00115337,0.00117878,0.00119676,0.00107445,0.0011618,0.00115337,,
DEYLUQ_clean_min_charges,0.00012761,0.000299672,0.000253347,0.000217154,0.00020346,0.000254489,0.000221119,0.000217894,0.000232858,0.00021967,,
DEYVUA_clean_min_charges,0.000494004,0.000643028,0.000631459,0.000602305,0.000634075,0.000598231,0.000612915,0.00063498,0.000590081,0.00061059,,
DIDDOK_clean_min_charges,4.52E-05,7.21E-05,7.46E-05,7.50E-05,7.16E-05,6.87E-05,7.41E-05,6.95E-05,7.30E-05,7.32E-05,,
DOGZIJ_clean_min_charges,0.000644081,0.000663846,0.000685561,0.000594683,0.000646822,0.000674268,0.000648344,0.000615177,0.000612652,0.000645506,,
DOQGUM_clean_min_charges,4.28E-09,5.69E-06,1.26E-06,4.12E-06,5.63E-06,2.23E-06,3.61E-06,1.51E-06,2.80E-06,2.90E-06,,
ECIWUJ_clean_min_charges,5.97E-10,0.000205895,0.000236644,0.000142912,0.000189324,9.47E-05,0.000172429,0.000245229,0.000176375,0.000114443,,
ECODEG_clean_min_charges,0.00191942,0.000251505,0.00023186,0.000244459,0.000275597,0.000242189,0.000238763,0.000231986,0.000227199,0.000234499,,
EDADIX_clean_min_charges,0.000468483,0.000704254,0.000496331,0.000677248,0.000801643,0.000603939,0.000801643,0.000607904,0.000537228,0.000554037,,
EDUSIF_clean_min_charges,1.30E-05,1.74E-05,1.73E-05,1.73E-05,1.75E-05,1.73E-05,1.72E-05,1.75E-05,1.74E-05,1.73E-05,,
EKOPIE_clean_min_charges,0.000132818,0.000190042,0.000190284,0.000194301,0.000195246,0.000189548,0.000194375,0.000198313,0.000192048,0.000201828,,
EKOPOK_clean_min_charges,0.000667501,0.000233669,0.000206019,0.00017562,0.000213615,0.0001756,0.000206307,0.000156838,0.000276113,0.000163352,,
EMITUQ_clean_min_charges,0.000167337,0.000286045,0.000281871,0.000292382,0.00028426,0.000278134,0.000290864,0.000279454,0.00027552,0.000295752,,
ESEVIH_clean_min_charges,0.000152551,0.000243597,0.000238932,0.000238765,0.000245144,0.00024323,0.000240535,0.000240146,0.000240842,0.00023942,,
EZABEN_clean_min_charges,7.11E-05,0.000221924,0.000231103,0.000230168,0.000203878,0.000221407,0.000223736,0.00022016,0.000211956,0.000221603,,
EZUCIM_clean_min_charges,0.000546824,0.000463279,0.000414563,0.000438792,0.000415823,0.000417413,0.000446468,0.000411127,0.000406969,0.000440615,,
FAKLOU_clean_min_charges,6.03E-05,6.84E-05,6.76E-05,6.50E-05,7.28E-05,7.02E-05,7.07E-05,6.74E-05,6.90E-05,7.13E-05,,
FAPTIB_clean_min_charges,0.000241559,0.000413185,0.000417238,0.00041329,0.000384104,0.000410051,0.000416984,0.000439206,0.000413231,0.000389343,,
FAPTOH_clean_min_charges,0.000260709,0.0004278,0.000392362,0.000416313,0.000433761,0.000441224,0.00041895,0.000429717,0.000421584,0.000396658,,
FECWOB01_clean_min_charges,0.000122407,0.00026207,0.000252977,0.00024906,0.000284403,0.000247718,0.000276515,0.000249194,0.000352592,0.000229072,,
FECZAQ_manual_min_charges,7.10E-05,0.000154334,0.000150528,0.000148607,0.000147489,0.000153809,0.000145585,0.000145118,0.000138601,0.000144819,,
FERHAN_clean_min_charges,0.000805868,0.000210043,0.000436424,0.000186824,0.00050979,0.000194564,0.000358028,0.000210569,0.00012083,0.000224857,,
FEWGUL_clean_min_charges,0.000588429,0.000426122,0.000451031,0.00040059,0.000436086,0.000442433,0.000426293,0.000411419,0.00039854,0.000429429,,
FEZREJ_clean_min_charges,9.67E-05,7.34E-05,7.14E-05,7.35E-05,7.32E-05,7.20E-05,7.23E-05,7.06E-05,7.45E-05,7.27E-05,,
FIJCUX01_clean_min_charges,0.000108764,0.000179683,0.000183868,0.000174412,0.000180304,0.000184251,0.000178926,0.000176456,0.000182535,0.000178027,,
