MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
ABUWOJ_clean_min_charges,0.000143278,5.53E-05,5.48E-05,5.49E-05,5.66E-05,5.65E-05,5.62E-05,5.63E-05,5.57E-05,5.49E-05,,
ACOLIP_clean_min_charges,0.000133567,0.000835652,0.000816208,0.000878689,0.000803094,0.000878689,0.000803094,0.000816208,0.00083357,0.000816208,,
AGARUW_clean_min_charges,5.19E-05,0.000110108,0.000109761,0.000109486,0.00010934,0.000110772,0.000109165,0.000109583,0.000109678,0.000107627,,
AHOKIR01_clean_min_charges,6.94E-07,1.06E-05,1.22E-05,1.85E-05,1.59E-05,9.18E-06,1.12E-05,1.00E-05,1.10E-05,1.08E-05,,
AMILUE_clean_min_charges,0.000261555,0.000145829,0.000104226,0.000175552,0.000145829,0.000194215,0.000145829,0.000127864,0.000104226,0.000175552,,
AMIMEP_clean_min_charges,0.000338654,0.000126415,0.000123068,9.83E-05,0.000187692,0.000128089,8.41E-05,8.61E-05,0.000124067,0.000136126,,
AMUCOB_clean_min_charges,1.18E-05,0.000433053,0.000413949,0.000433068,0.000418485,0.000425974,0.000409071,0.000423845,0.000420625,0.000423859,,
ANUGIA_clean_min_charges,2.56E-05,3.05E-05,3.11E-05,3.09E-05,3.06E-05,2.98E-05,3.07E-05,3.06E-05,3.06E-05,3.00E-05,,
APEBED_clean_min_charges,0.000158576,0.000205621,0.000160455,0.000183893,0.000165431,0.000167537,0.000182162,0.000158687,0.000172448,0.00018281,,
AROFET_clean_min_charges,9.72E-05,0.000141576,0.000138058,0.00014556,0.000136542,0.000145469,0.000141305,0.000145975,0.000139735,0.000152896,,
ATOXEN_clean_min_charges,0.000111879,0.000255654,0.000216438,0.000238667,0.000315237,0.000238667,0.000315237,0.000238667,0.000275251,0.000238667,,
AVAQIX_clean_min_charges,0.000802415,0.000115688,0.000115087,0.000116021,0.00012335,0.00011332,0.000111481,0.000117631,0.000119059,0.000128406,,
AVIMOI_clean_min_charges,0.000225345,0.000366949,0.000316353,0.000451694,0.000449956,0.000322887,0.000305376,0.000341768,0.000319046,0.000465273,,
BAEDTA01_clean_min_charges,0.000479752,0.00106506,0.00111872,0.00106506,0.00111872,0.00106506,0.00111872,0.00106506,0.00109247,0.00111872,,
BALMUW01_clean_min_charges,1.81E-08,0.000145568,0.000141128,0.000152149,0.000142378,0.000140615,0.000152508,0.000142581,0.000144361,0.000147695,,
BALMUW_clean_min_charges,8.71E-10,1.25E-05,1.09E-05,1.25E-05,1.14E-05,1.27E-05,1.35E-05,1.21E-05,1.17E-05,1.13E-05,,
BARZAW_clean_min_charges,6.23E-05,0.000170374,0.000142737,0.000164314,0.00013797,0.000215046,0.000147779,0.000170153,0.000125053,0.000154132,,
BENXUP_clean_min_charges,1.83E-05,0.000665864,0.000647325,0.000632409,0.000665864,0.000647325,0.000632409,0.000665864,0.000647325,0.000632409,,
BERGAI_clean_min_charges,0.00102201,0.00179696,0.00183091,0.00185354,0.00181499,0.00179816,0.00188652,0.00181742,0.00184278,0.00194741,,
BIBBUL_clean_min_charges,1.56E-06,0.000173054,0.000244607,0.00022234,0.000219227,0.000177535,0.000188433,0.000197978,0.000236266,0.000275948,,
BOJCIN_clean_min_charges,0.000108722,0.000151647,0.000151008,0.000159513,0.000158113,0.000189101,0.000164702,0.000151008,0.000158113,0.000189101,,
BONWAD_clean_min_charges,2.16E-11,3.07E-08,1.21E-07,9.91E-08,1.44E-07,6.52E-08,5.03E-08,4.33E-08,1.11E-07,4.25E-08,,
BONWIL_clean_min_charges,4.84E-07,0.000399729,0.000302466,0.000306328,0.000344725,0.00025986,0.000425805,0.000312449,0.000382581,0.000338403,,
BOWQAG_clean_min_charges,7.79E-08,0.000175666,0.000255127,0.000123577,8.76E-05,0.000140193,0.00015315,0.000155973,0.000139244,0.000193116,,
BUVXOG_clean_min_charges,4.58E-05,0.000116027,0.000105848,0.000108509,0.000105648,0.000110996,0.000107782,0.000106062,0.000109479,0.000113876,,
CATART03_clean_min_charges,2.10E-12,0.000148952,0.000164499,0.000149217,0.000150164,0.000154424,0.000168167,0.000158406,0.000161528,0.000142166,,
CEGFAW_clean_min_charges,0.00010225,0.000196742,0.000202964,0.000204168,0.000195762,0.000202173,0.000198868,0.000199897,0.00019528,0.00019613,,
CICYIX_clean_min_charges,1.01E-09,1.65E-07,2.65E-07,3.42E-07,3.24E-07,1.38E-07,2.08E-07,2.31E-07,2.60E-07,2.09E-07,,
CIGYAU_clean_min_charges,1.84E-05,1.66E-08,3.85E-08,3.78E-08,8.22E-07,1.03E-07,5.05E-09,1.63E-07,3.41E-07,2.70E-07,,
COGWEB_clean_min_charges,9.92E-05,0.000165639,0.000163223,0.000173375,0.000173064,0.000169926,0.000164813,0.0001638,0.000183128,0.00017293,,
CUHPUR_clean_min_charges,3.82E-05,5.79E-05,6.01E-05,5.71E-05,5.69E-05,5.82E-05,5.82E-05,5.82E-05,5.81E-05,5.81E-05,,
CUNWEO_clean_min_charges,5.12E-05,7.97E-05,8.24E-05,7.97E-05,8.24E-05,8.24E-05,7.97E-05,8.24E-05,7.97E-05,8.24E-05,,
CUNXIS10_clean_min_charges,0.0375977,5.00E-05,7.08E-05,6.52E-05,5.73E-05,7.13E-05,7.31E-05,7.71E-05,8.41E-05,6.86E-05,,
CUNXIS_clean_min_charges,0.0396124,0.000105493,0.000153001,0.000122953,0.00010374,9.76E-05,0.000171656,0.000114657,0.000188384,0.000112863,,
CUTKOS_clean_min_charges,0.000587983,0.000750438,0.000845943,0.000763494,0.000706513,0.000832148,0.000771163,0.00078344,0.000773736,0.000815932,,
CUYHIO_clean_min_charges,6.54E-22,6.84E-06,6.20E-06,1.08E-05,3.55E-06,1.72E-06,6.68E-06,2.10E-05,4.33E-06,1.65E-05,,
DAGDIZ_clean_min_charges,5.56E-05,9.36E-05,9.42E-05,9.24E-05,9.31E-05,9.36E-05,9.44E-05,9.36E-05,9.36E-05,9.36E-05,,
DAJHUS_clean_min_charges,3.94E-05,0.000204368,0.000245252,0.000204368,0.000245252,0.000204368,0.000245252,0.000204368,0.00024064,0.000204368,,
DEGJIK_clean_min_charges,0.000331854,0.000456524,0.000430278,0.000454397,0.000456524,0.00046148,0.000468623,0.000435188,0.000457732,0.000456524,,
DEYLUQ_clean_min_charges,5.66E-05,0.000124693,1.00E-04,8.60E-05,8.34E-05,0.000101284,8.96E-05,8.63E-05,9.52E-05,9.10E-05,,
DEYVUA_clean_min_charges,0.000240242,0.00028726,0.000282583,0.000269253,0.000283813,0.000267465,0.000276371,0.000282772,0.000266984,0.000274678,,
DIDDOK_clean_min_charges,2.85E-05,4.18E-05,4.31E-05,4.32E-05,4.16E-05,4.02E-05,4.27E-05,4.04E-05,4.22E-05,4.24E-05,,
DOGZIJ_clean_min_charges,0.000240986,0.000253314,0.000254079,0.000228179,0.000246223,0.000252401,0.000247632,0.000232851,0.000236646,0.00024853,,
DOQGUM_clean_min_charges,3.10E-08,4.25E-06,1.38E-06,3.03E-06,3.81E-06,2.15E-06,3.19E-06,1.50E-06,2.58E-06,2.46E-06,,
