MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
ABUWOJ_clean_min_charges,5.94E-06,3.46E-06,3.47E-06,3.46E-06,3.48E-06,3.51E-06,3.50E-06,3.52E-06,3.47E-06,3.50E-06,,
ACOLIP_clean_min_charges,6.01E-06,1.47E-05,1.47E-05,1.50E-05,1.44E-05,1.47E-05,1.50E-05,1.44E-05,1.47E-05,1.44E-05,,
AGARUW_clean_min_charges,2.31E-06,4.52E-06,4.52E-06,4.50E-06,4.49E-06,4.51E-06,4.50E-06,4.49E-06,4.49E-06,4.45E-06,,
AHOKIR01_clean_min_charges,2.61E-07,8.50E-07,9.19E-07,1.08E-06,1.03E-06,7.43E-07,8.74E-07,8.27E-07,8.29E-07,8.47E-07,,
AMILUE_clean_min_charges,5.48E-06,4.93E-06,4.27E-06,5.22E-06,4.93E-06,5.41E-06,4.93E-06,4.70E-06,4.27E-06,5.22E-06,,
AMIMEP_clean_min_charges,6.16E-06,4.34E-06,4.32E-06,4.09E-06,4.81E-06,4.48E-06,4.13E-06,4.00E-06,4.49E-06,4.59E-06,,
AMUCOB_clean_min_charges,1.22E-06,7.11E-06,6.92E-06,7.08E-06,6.98E-06,7.04E-06,6.90E-06,7.01E-06,6.97E-06,7.03E-06,,
ANUGIA_clean_min_charges,3.96E-06,4.43E-06,4.47E-06,4.44E-06,4.41E-06,4.38E-06,4.43E-06,4.43E-06,4.43E-06,4.40E-06,,
APEBED_clean_min_charges,5.13E-06,5.64E-06,5.00E-06,5.39E-06,5.08E-06,4.96E-06,5.32E-06,4.85E-06,5.16E-06,5.27E-06,,
AROFET_clean_min_charges,5.38E-06,6.84E-06,6.76E-06,6.91E-06,6.71E-06,6.99E-06,6.77E-06,6.88E-06,6.81E-06,7.11E-06,,
ATOXEN_clean_min_charges,3.36E-06,5.76E-06,5.48E-06,5.99E-06,5.76E-06,5.48E-06,6.80E-06,5.99E-06,5.87E-06,5.99E-06,,
AVAQIX_clean_min_charges,1.42E-05,4.70E-06,4.61E-06,4.53E-06,4.76E-06,4.56E-06,4.48E-06,4.55E-06,4.63E-06,4.95E-06,,
AVIMOI_clean_min_charges,6.85E-06,7.81E-06,7.14E-06,8.32E-06,8.64E-06,7.95E-06,7.76E-06,7.88E-06,7.40E-06,8.61E-06,,
BAEDTA01_clean_min_charges,5.73E-06,8.32E-06,8.49E-06,8.32E-06,8.49E-06,8.32E-06,8.49E-06,8.32E-06,8.42E-06,8.49E-06,,
BALMUW01_clean_min_charges,4.33E-08,4.04E-06,3.99E-06,4.13E-06,4.03E-06,3.93E-06,4.17E-06,4.03E-06,4.04E-06,4.07E-06,,
BALMUW_clean_min_charges,9.44E-09,1.05E-06,9.73E-07,1.05E-06,1.00E-06,1.02E-06,1.08E-06,1.02E-06,1.02E-06,1.01E-06,,
BARZAW_clean_min_charges,2.46E-06,4.02E-06,3.60E-06,3.97E-06,3.44E-06,3.84E-06,3.53E-06,3.93E-06,3.22E-06,3.53E-06,,
BENXUP_clean_min_charges,2.10E-06,1.07E-05,1.09E-05,1.05E-05,1.07E-05,1.09E-05,1.05E-05,1.07E-05,1.09E-05,1.05E-05,,
BERGAI_clean_min_charges,1.13E-05,1.69E-05,1.69E-05,1.72E-05,1.70E-05,1.70E-05,1.73E-05,1.70E-05,1.71E-05,1.77E-05,,
BIBBUL_clean_min_charges,3.95E-07,3.95E-06,4.49E-06,4.30E-06,4.17E-06,3.66E-06,3.64E-06,3.88E-06,4.54E-06,5.13E-06,,
BOJCIN_clean_min_charges,4.46E-06,5.00E-06,5.28E-06,5.20E-06,5.09E-06,5.77E-06,5.28E-06,5.01E-06,5.09E-06,5.77E-06,,
BONWAD_clean_min_charges,1.51E-09,5.11E-08,8.88E-08,8.23E-08,8.81E-08,7.45E-08,5.80E-08,5.62E-08,9.28E-08,6.05E-08,,
BONWIL_clean_min_charges,1.40E-07,4.51E-06,4.00E-06,4.00E-06,4.03E-06,3.71E-06,4.44E-06,3.99E-06,4.21E-06,4.05E-06,,
BOWQAG_clean_min_charges,1.64E-07,2.85E-06,3.40E-06,2.46E-06,2.41E-06,2.78E-06,2.85E-06,3.23E-06,2.84E-06,3.27E-06,,
BUVXOG_clean_min_charges,2.57E-06,4.14E-06,3.89E-06,3.95E-06,3.87E-06,4.02E-06,3.97E-06,3.92E-06,4.03E-06,4.07E-06,,
CATART03_clean_min_charges,1.68E-10,7.53E-06,7.88E-06,7.61E-06,7.76E-06,7.66E-06,7.87E-06,7.70E-06,7.80E-06,7.63E-06,,
CEGFAW_clean_min_charges,3.16E-06,4.64E-06,4.76E-06,4.77E-06,4.57E-06,4.70E-06,4.68E-06,4.67E-06,4.65E-06,4.64E-06,,
CICYIX_clean_min_charges,3.30E-08,4.28E-07,4.59E-07,4.68E-07,4.09E-07,4.17E-07,4.42E-07,4.51E-07,4.98E-07,4.10E-07,,
CIGYAU_clean_min_charges,2.36E-06,1.87E-08,2.55E-08,2.46E-08,6.96E-08,3.55E-08,7.62E-09,3.62E-08,5.37E-08,6.10E-08,,
COGWEB_clean_min_charges,6.13E-06,8.09E-06,8.02E-06,8.36E-06,8.21E-06,8.18E-06,8.03E-06,8.01E-06,8.52E-06,8.28E-06,,
CUHPUR_clean_min_charges,4.09E-06,5.01E-06,5.10E-06,4.95E-06,4.95E-06,5.01E-06,5.02E-06,5.02E-06,5.01E-06,5.02E-06,,
CUNWEO_clean_min_charges,3.36E-06,4.37E-06,4.37E-06,4.28E-06,4.37E-06,4.37E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,,
CUNXIS10_clean_min_charges,0.000105461,3.17E-06,3.92E-06,3.46E-06,3.43E-06,3.42E-06,3.92E-06,3.81E-06,4.03E-06,3.44E-06,,
CUNXIS_clean_min_charges,0.000108548,4.67E-06,5.43E-06,5.12E-06,4.80E-06,4.58E-06,5.40E-06,5.08E-06,6.07E-06,4.86E-06,,
CUTKOS_clean_min_charges,1.14E-05,1.22E-05,1.31E-05,1.25E-05,1.19E-05,1.30E-05,1.23E-05,1.28E-05,1.25E-05,1.28E-05,,
CUYHIO_clean_min_charges,7.92E-15,5.97E-07,7.05E-07,6.10E-07,5.57E-07,3.67E-07,4.48E-07,1.01E-06,5.77E-07,8.48E-07,,
DAGDIZ_clean_min_charges,2.77E-06,4.11E-06,4.12E-06,4.10E-06,4.08E-06,4.09E-06,4.13E-06,4.09E-06,4.13E-06,4.09E-06,,
DAJHUS_clean_min_charges,1.88E-06,6.79E-06,6.72E-06,6.79E-06,6.72E-06,6.79E-06,6.72E-06,6.79E-06,6.66E-06,6.72E-06,,
DEGJIK_clean_min_charges,7.20E-06,8.04E-06,7.82E-06,8.12E-06,8.04E-06,8.25E-06,8.26E-06,7.78E-06,8.10E-06,8.04E-06,,
DEYLUQ_clean_min_charges,2.55E-06,3.29E-06,2.71E-06,2.51E-06,2.53E-06,2.81E-06,2.58E-06,2.49E-06,2.76E-06,2.73E-06,,
DEYVUA_clean_min_charges,1.02E-05,1.07E-05,1.06E-05,1.03E-05,1.07E-05,1.03E-05,1.05E-05,1.06E-05,1.03E-05,1.04E-05,,
DIDDOK_clean_min_charges,4.35E-06,5.38E-06,5.44E-06,5.47E-06,5.36E-06,5.26E-06,5.42E-06,5.30E-06,5.40E-06,5.41E-06,,
DOGZIJ_clean_min_charges,6.65E-06,6.71E-06,6.63E-06,6.42E-06,6.51E-06,6.65E-06,6.58E-06,6.41E-06,6.47E-06,6.63E-06,,
DOQGUM_clean_min_charges,9.58E-08,3.68E-07,2.36E-07,3.04E-07,3.10E-07,2.76E-07,3.39E-07,2.43E-07,2.86E-07,2.93E-07,,
ECIWUJ_clean_min_charges,2.80E-07,2.31E-06,2.35E-06,1.81E-06,1.70E-06,1.79E-06,2.08E-06,2.27E-06,2.40E-06,2.05E-06,,
ECODEG_clean_min_charges,1.40E-05,4.62E-06,4.44E-06,4.41E-06,4.75E-06,4.61E-06,4.54E-06,4.43E-06,4.47E-06,4.33E-06,,
EDADIX_clean_min_charges,7.66E-06,7.65E-06,6.54E-06,7.54E-06,8.26E-06,7.05E-06,8.26E-06,6.57E-06,6.65E-06,7.31E-06,,
EDUSIF_clean_min_charges,2.38E-06,2.73E-06,2.73E-06,2.73E-06,2.73E-06,2.74E-06,2.71E-06,2.74E-06,2.73E-06,2.72E-06,,
EKOPIE_clean_min_charges,3.72E-06,4.32E-06,4.32E-06,4.36E-06,4.34E-06,4.29E-06,4.40E-06,4.44E-06,4.32E-06,4.41E-06,,
EKOPOK_clean_min_charges,7.12E-06,4.69E-06,4.40E-06,4.18E-06,4.49E-06,4.27E-06,4.48E-06,4.10E-06,4.94E-06,4.22E-06,,
EMITUQ_clean_min_charges,4.66E-06,6.30E-06,6.19E-06,6.39E-06,6.19E-06,6.15E-06,6.29E-06,6.19E-06,6.11E-06,6.37E-06,,
ESEVIH_clean_min_charges,3.52E-06,4.89E-06,4.84E-06,4.84E-06,4.91E-06,4.89E-06,4.85E-06,4.86E-06,4.85E-06,4.85E-06,,
EZABEN_clean_min_charges,2.63E-06,3.88E-06,3.98E-06,3.96E-06,3.65E-06,3.93E-06,3.88E-06,3.90E-06,3.75E-06,3.86E-06,,
EZUCIM_clean_min_charges,9.34E-06,8.71E-06,8.32E-06,8.53E-06,8.41E-06,8.30E-06,8.56E-06,8.37E-06,8.21E-06,8.52E-06,,
FAKLOU_clean_min_charges,3.66E-06,3.84E-06,3.83E-06,3.71E-06,3.97E-06,3.90E-06,3.93E-06,3.84E-06,3.86E-06,3.94E-06,,
FAPTIB_clean_min_charges,6.57E-06,8.10E-06,8.18E-06,8.18E-06,7.83E-06,8.06E-06,8.12E-06,8.33E-06,8.00E-06,7.94E-06,,
FAPTOH_clean_min_charges,6.70E-06,7.98E-06,7.59E-06,7.79E-06,7.96E-06,8.14E-06,7.83E-06,7.92E-06,7.84E-06,7.69E-06,,
FECWOB01_clean_min_charges,3.67E-06,3.34E-06,3.47E-06,3.39E-06,3.46E-06,3.04E-06,3.33E-06,3.49E-06,3.96E-06,3.47E-06,,
FECZAQ_manual_min_charges,3.52E-06,4.62E-06,4.58E-06,4.57E-06,4.51E-06,4.58E-06,4.51E-06,4.47E-06,4.46E-06,4.50E-06,,
FERHAN_clean_min_charges,5.75E-06,6.23E-06,6.86E-06,6.23E-06,7.24E-06,6.11E-06,6.57E-06,6.40E-06,5.57E-06,6.29E-06,,
FEWGUL_clean_min_charges,5.76E-06,5.24E-06,5.30E-06,5.27E-06,5.32E-06,5.37E-06,5.27E-06,5.23E-06,5.28E-06,5.34E-06,,
FEZREJ_clean_min_charges,3.62E-06,3.33E-06,3.29E-06,3.34E-06,3.31E-06,3.30E-06,3.29E-06,3.28E-06,3.35E-06,3.31E-06,,
FIJCUX01_clean_min_charges,3.91E-06,5.27E-06,5.34E-06,5.19E-06,5.27E-06,5.32E-06,5.23E-06,5.21E-06,5.33E-06,5.25E-06,,
FIJCUX_clean_min_charges,3.87E-06,4.76E-06,4.73E-06,4.75E-06,4.68E-06,4.87E-06,4.76E-06,4.70E-06,4.53E-06,4.77E-06,,
FIPWOS_clean_min_charges,2.39E-05,1.74E-05,1.72E-05,1.70E-05,1.76E-05,1.72E-05,1.74E-05,1.70E-05,1.73E-05,1.70E-05,,
FIPXEJ_clean_min_charges,9.52E-06,2.15E-05,2.13E-05,2.14E-05,2.18E-05,2.10E-05,2.18E-05,2.12E-05,2.16E-05,2.07E-05,,
FIRVEH_clean_min_charges,3.80E-06,2.58E-06,2.51E-06,2.52E-06,2.49E-06,2.53E-06,2.54E-06,2.57E-06,2.60E-06,2.59E-06,,
FOHCIP_clean_min_charges,6.38E-07,4.86E-07,5.89E-07,5.69E-07,5.50E-07,4.82E-07,5.30E-07,4.86E-07,5.48E-07,4.96E-07,,
FUNBAS_clean_min_charges,8.25E-06,1.10E-05,1.10E-05,1.10E-05,1.11E-05,1.11E-05,1.10E-05,1.09E-05,1.09E-05,1.08E-05,,
FUNBIA_clean_min_charges,7.38E-06,7.96E-06,8.10E-06,8.10E-06,8.15E-06,8.13E-06,8.18E-06,7.94E-06,8.29E-06,8.17E-06,,
FUNBOG_clean_min_charges,3.94E-06,4.58E-06,4.53E-06,4.48E-06,4.53E-06,4.59E-06,4.54E-06,4.49E-06,4.53E-06,4.59E-06,,
FUNCAT_clean_min_charges,7.22E-06,7.47E-06,7.59E-06,7.47E-06,7.53E-06,7.45E-06,7.38E-06,7.58E-06,7.63E-06,7.51E-06,,
FUNCEX_clean_min_charges,3.97E-06,4.61E-06,4.64E-06,4.61E-06,4.60E-06,4.62E-06,4.63E-06,4.48E-06,4.56E-06,4.54E-06,,
GACQAE_clean_min_charges,4.65E-06,5.61E-06,5.56E-06,5.57E-06,5.56E-06,5.53E-06,5.47E-06,5.65E-06,5.60E-06,5.59E-06,,
GALCED_clean_min_charges,5.10E-06,4.21E-06,4.26E-06,4.27E-06,4.12E-06,4.18E-06,4.31E-06,4.25E-06,4.37E-06,4.28E-06,,
GAXWEJ_clean_min_charges,5.38E-06,7.30E-06,7.44E-06,7.43E-06,7.32E-06,7.53E-06,7.51E-06,7.26E-06,7.38E-06,7.52E-06,,
GAYFUJ_clean_min_charges,4.65E-06,9.17E-06,9.11E-06,9.27E-06,9.02E-06,9.18E-06,9.11E-06,9.10E-06,9.26E-06,9.17E-06,,
GIDKOU_clean_min_charges,1.60E-05,2.54E-06,2.82E-06,3.04E-06,2.81E-06,2.71E-06,2.43E-06,2.84E-06,2.67E-06,2.81E-06,,
GIHBII_clean_min_charges,5.05E-05,7.59E-06,7.06E-06,6.53E-06,5.96E-06,6.94E-06,6.77E-06,7.05E-06,6.84E-06,6.54E-06,,
GIMSIG_clean_min_charges,3.77E-06,6.55E-06,6.47E-06,6.51E-06,6.53E-06,6.59E-06,6.58E-06,6.66E-06,6.43E-06,6.56E-06,,
GINLIA_clean_min_charges,7.07E-06,8.30E-06,8.25E-06,8.09E-06,8.35E-06,8.32E-06,8.28E-06,8.35E-06,8.39E-06,8.16E-06,,
GITWIQ_clean_min_charges,3.79E-06,5.28E-06,5.25E-06,5.21E-06,5.30E-06,5.24E-06,5.21E-06,5.16E-06,5.23E-06,5.34E-06,,
GIZJOP_clean_min_charges,5.70E-06,8.75E-06,8.63E-06,8.74E-06,9.02E-06,8.72E-06,8.83E-06,8.84E-06,8.57E-06,8.87E-06,,
GOMRAC_clean_min_charges,0.000111008,0.000209588,0.000210369,0.000209865,0.000209921,0.000209384,0.000208847,0.00020969,0.000210336,0.000209832,,
GOMREG_clean_min_charges,0.000120723,0.000243693,0.000243113,0.000243161,0.000243594,0.000241798,0.000243393,0.000242765,0.00024307,0.000243628,,
GULPIN_clean_min_charges,3.01E-06,3.22E-06,3.15E-06,3.43E-06,3.04E-06,3.19E-06,3.37E-06,3.83E-06,2.61E-06,2.96E-06,,
GUWDUY_clean_min_charges,7.81E-06,5.86E-06,6.05E-06,6.32E-06,5.46E-06,6.19E-06,6.17E-06,5.49E-06,6.23E-06,5.94E-06,,
GUXLIU_clean_min_charges,2.60E-06,1.18E-05,1.51E-05,1.32E-05,1.32E-05,1.31E-05,1.26E-05,1.24E-05,1.38E-05,1.43E-05,,
GUYLUI01_clean_min_charges,4.54E-06,3.48E-07,4.26E-07,5.93E-07,5.36E-07,3.44E-07,6.89E-07,4.31E-07,3.52E-07,6.34E-07,,
GUYLUI_clean_min_charges,4.81E-06,3.78E-07,6.77E-07,2.33E-07,2.80E-07,3.43E-07,3.91E-07,4.80E-07,2.11E-07,8.01E-07,,
HABRIN_clean_min_charges,6.63E-07,3.57E-06,3.32E-06,3.29E-06,4.26E-06,3.15E-06,3.86E-06,2.78E-06,3.40E-06,3.18E-06,,
HAFQUC_clean_min_charges,1.10E-05,1.62E-05,1.63E-05,1.65E-05,1.63E-05,1.62E-05,1.61E-05,1.66E-05,1.64E-05,1.63E-05,,
HAKWUM_clean_min_charges,7.58E-16,4.08E-06,4.08E-06,3.02E-06,3.36E-06,4.04E-06,4.46E-06,3.05E-06,4.19E-06,2.75E-06,,
HAMJOW_clean_min_charges,8.12E-06,8.81E-06,8.92E-06,9.03E-06,8.86E-06,8.91E-06,8.98E-06,9.17E-06,9.13E-06,8.99E-06,,
HEGJUZ_clean_min_charges,8.65E-06,1.11E-05,1.05E-05,1.12E-05,1.13E-05,1.05E-05,1.11E-05,1.08E-05,1.04E-05,1.04E-05,,
HICVUM_clean_min_charges,7.41E-06,4.48E-06,4.43E-06,4.56E-06,4.34E-06,4.57E-06,4.48E-06,4.71E-06,4.75E-06,4.50E-06,,
HIFTOG01_clean_min_charges,2.38E-06,2.71E-06,2.72E-06,2.72E-06,2.71E-06,2.72E-06,2.71E-06,2.72E-06,2.73E-06,2.72E-06,,
HIFTOG02_clean_min_charges,4.00E-06,5.10E-06,5.20E-06,5.08E-06,5.12E-06,5.12E-06,5.13E-06,5.13E-06,5.23E-06,5.26E-06,,
HIFTOG_clean_min_charges,4.00E-06,5.18E-06,5.24E-06,4.96E-06,5.17E-06,5.18E-06,5.27E-06,5.03E-06,5.09E-06,5.04E-06,,
HIFVOI_clean_min_charges,4.53E-06,5.44E-06,5.50E-06,5.45E-06,5.30E-06,5.48E-06,5.11E-06,5.66E-06,5.56E-06,5.57E-06,,
