MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
ABUWOJ_clean_min_charges,0.00428948,0.00208477,0.00203966,0.00209332,0.00218308,0.00218535,0.00216229,0.0021525,0.00214347,0.0020215,,
ACOLIP_clean_min_charges,0.00242253,0.0799386,0.0794521,0.0807005,0.0777223,0.078421,0.0741251,0.079412,0.0735721,0.073337,,
AGARUW_clean_min_charges,0.00285456,0.00671891,0.00680191,0.00675421,0.00661389,0.00676829,0.00671724,0.00670159,0.00664547,0.00661366,,
AHOKIR01_clean_min_charges,1.72E-08,3.49E-05,1.71E-05,8.38E-05,5.60E-05,3.41E-05,1.29E-05,1.85E-05,3.59E-05,3.07E-05,,
AMILUE_clean_min_charges,0.0179981,0.00354848,0.00145275,0.00739431,0.00354848,0.00749628,0.00739431,0.00264559,0.00749628,0.00739431,,
AMIMEP_clean_min_charges,0.0295004,0.00420993,0.00648144,0.006155,0.0204579,0.00706453,0.00136383,0.00315725,0.00354008,0.00639794,,
AMUCOB_clean_min_charges,3.95E-07,0.0505793,0.0472588,0.0510927,0.0479654,0.049297,0.0453,0.0492381,0.0478331,0.0483977,,
ANUGIA_clean_min_charges,0.000282504,0.000376183,0.000379404,0.000382791,0.000382491,0.000358449,0.000379728,0.000380117,0.000381946,0.000362567,,
APEBED_clean_min_charges,0.00496177,0.00537195,0.00279736,0.00370562,0.00314073,0.00364197,0.00372495,0.0032785,0.00292035,0.00404839,,
AROFET_clean_min_charges,0.00296228,0.00590618,0.00555535,0.00616093,0.00558318,0.00591603,0.00572142,0.00608772,0.00577403,0.00650194,,
ATOXEN_clean_min_charges,0.00367888,0.00379816,0.0049837,0.00277364,0.0049837,0.00277364,0.00502333,0.00277364,0.0049837,0.00277364,,
AVAQIX_clean_min_charges,0.0709345,0.00602379,0.00618963,0.00647198,0.00648941,0.00562286,0.00627904,0.00651716,0.006415,0.00733087,,
AVIMOI_clean_min_charges,0.0130926,0.02652,0.0220898,0.0641779,0.0328276,0.0190426,0.019412,0.0273055,0.0278992,0.0490567,,
BAEDTA01_clean_min_charges,0.00281126,0.146203,0.14524,0.148745,0.145214,0.144512,0.141946,0.146325,0.149785,0.1489652,,
BALMUW01_clean_min_charges,2.57E-13,0.00111313,0.00106839,0.00117986,0.00100517,0.000984585,0.00121791,0.00105532,0.00104695,0.00116697,,
BALMUW_clean_min_charges,1.04E-16,1.45E-06,9.91E-07,1.38E-06,1.14E-06,5.28E-06,2.65E-06,2.14E-06,9.91E-07,1.03E-06,,
BARZAW_clean_min_charges,0.00463022,0.0254111,0.0191303,0.0224909,0.0191625,0.0216767,0.019618,0.019214,0.0185722,0.0208801,,
BENXUP_clean_min_charges,1.56E-06,0.0611302,0.054228,0.0536848,0.0611302,0.054228,0.0536848,0.0611302,0.054228,0.0536848,,
BERGAI_clean_min_charges,0.119768,0.508925,0.514224,0.557907,0.52157,0.515173,0.552719,0.509107,0.541768,0.58221,,
BIBBUL_clean_min_charges,1.58E-08,0.00334052,0.00703868,0.00828118,0.00889216,0.00846151,0.00646477,0.00618574,0.0061432,0.00978128,,
BOJCIN_clean_min_charges,0.00423794,0.010227,0.00994521,0.0099575,0.0109913,0.012201,0.0106462,0.0101404,0.0109913,0.012201,,
BONWAD_clean_min_charges,2.25E-18,3.17E-11,2.63E-09,1.42E-10,2.12E-10,6.51E-11,5.73E-11,4.62E-11,1.97E-10,3.56E-11,,
BONWIL_clean_min_charges,1.54E-08,0.042178,0.0375715,0.0240527,0.0350865,0.0196646,0.0504539,0.0288873,0.0432282,0.0391845,,
BOWQAG_clean_min_charges,2.76E-11,0.00217817,0.0014651,0.000210535,3.73E-05,0.000182012,0.000356654,0.000253169,0.000184655,0.000783954,,
BUVXOG_clean_min_charges,0.00168869,0.00789058,0.00716323,0.0073292,0.00731392,0.00744584,0.00729715,0.0073553,0.0073006,0.00748926,,
CATART03_clean_min_charges,1.46E-21,0.000625873,0.000504359,0.000489388,0.000511117,0.000579044,0.000795222,0.000741634,0.000649976,0.000415456,,
CEGFAW_clean_min_charges,0.00290423,0.0100341,0.0102284,0.0105126,0.00991001,0.0105124,0.00990292,0.0100745,0.00978038,0.00956907,,
