MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
ABUWOJ_clean_min_charges,0.00203016,0.000776035,0.000762572,0.000776621,0.00080833,0.00080244,0.000799642,0.000797505,0.000791089,0.000757174,,
ACOLIP_clean_min_charges,0.00139746,0.0230855,0.0230855,0.023673,0.0226593,0.0226593,0.0221887,0.0214648,0.0221887,0.0214648,,
AGARUW_clean_min_charges,0.000940855,0.00216595,0.00216422,0.00215037,0.00213167,0.00217632,0.00214269,0.00215255,0.00213557,0.00211657,,
AHOKIR01_clean_min_charges,2.31E-07,4.93E-05,3.16E-05,8.76E-05,7.46E-05,4.05E-05,2.93E-05,2.75E-05,4.02E-05,4.21E-05,,
AMILUE_clean_min_charges,0.0059808,0.00349634,0.00120432,0.00349634,0.00246694,0.0042862,0.0042862,0.00185432,0.00349634,0.0042862,,
AMIMEP_clean_min_charges,0.00938502,0.00208629,0.00268873,0.00231286,0.00656586,0.00278252,0.000787869,0.00140938,0.00177953,0.00276228,,
AMUCOB_clean_min_charges,1.12E-05,0.0148762,0.0141318,0.0150083,0.0143179,0.0145893,0.0136786,0.0145225,0.0143245,0.0145967,,
ANUGIA_clean_min_charges,0.000150659,0.000192273,0.000195374,0.000195378,0.000194916,0.000183832,0.000192405,0.000193837,0.000193799,0.00018596,,
APEBED_clean_min_charges,0.00258723,0.00284378,0.00174249,0.00212411,0.0018524,0.0019932,0.00211524,0.00184031,0.00179804,0.00218929,,
AROFET_clean_min_charges,0.00116702,0.00217987,0.00207704,0.0022967,0.00208431,0.00223939,0.00215787,0.00228903,0.00214693,0.0024015,,
ATOXEN_clean_min_charges,0.00181569,0.00208241,0.00196057,0.00184152,0.00196057,0.00184152,0.00228965,0.00225,0.00179185,0.001874,,
AVAQIX_clean_min_charges,0.023603,0.0020906,0.00210187,0.00215066,0.00223371,0.0019895,0.00207929,0.00221739,0.00218158,0.00245774,,
AVIMOI_clean_min_charges,0.00485544,0.00875921,0.00761195,0.0172287,0.0113091,0.00697054,0.00674565,0.00893304,0.00844607,0.0145598,,
BAEDTA01_clean_min_charges,0.00129264,0.0335564,0.033548,0.0332474,0.032541,0.03145877,0.0335419,0.032874,0.0346079,0.034574,,
