MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8
ABUWOJ_clean_min_charges,3.75E-05,1.79E-05,1.79E-05,1.79E-05,1.83E-05,1.82E-05,1.83E-05,1.82E-05,1.79E-05,1.79E-05
ACOLIP_clean_min_charges,3.36E-05,0.000169607,0.000169607,0.000178192,0.000165467,0.000178192,0.000165467,0.000166666,0.000168888,0.000166666
AGARUW_clean_min_charges,1.46E-05,3.12E-05,3.13E-05,3.11E-05,3.10E-05,3.13E-05,3.10E-05,3.11E-05,3.10E-05,3.06E-05
AHOKIR01_clean_min_charges,4.47E-08,1.45E-06,1.77E-06,2.78E-06,2.32E-06,1.32E-06,1.74E-06,1.50E-06,1.68E-06,1.56E-06
AMILUE_clean_min_charges,4.82E-05,3.83E-05,2.51E-05,3.83E-05,3.32E-05,4.04E-05,3.83E-05,2.98E-05,3.32E-05,4.04E-05
AMIMEP_clean_min_charges,5.81E-05,3.02E-05,2.90E-05,2.43E-05,3.74E-05,3.05E-05,2.52E-05,2.22E-05,2.94E-05,3.10E-05
AMUCOB_clean_min_charges,3.79E-06,9.67E-05,9.30E-05,9.60E-05,9.36E-05,9.47E-05,9.22E-05,9.50E-05,9.41E-05,9.50E-05
ANUGIA_clean_min_charges,1.13E-05,1.36E-05,1.37E-05,1.36E-05,1.35E-05,1.33E-05,1.35E-05,1.36E-05,1.36E-05,1.34E-05
APEBED_clean_min_charges,3.73E-05,4.07E-05,3.19E-05,3.59E-05,3.35E-05,3.39E-05,3.54E-05,3.13E-05,3.41E-05,3.59E-05
AROFET_clean_min_charges,2.95E-05,4.19E-05,4.12E-05,4.31E-05,4.10E-05,4.30E-05,4.22E-05,4.30E-05,4.16E-05,4.46E-05
ATOXEN_clean_min_charges,2.68E-05,6.77E-05,6.32E-05,6.65E-05,6.32E-05,6.65E-05,9.33E-05,1.01E-04,6.96E-05,9.62E-05
AVAQIX_clean_min_charges,0.000151985,3.24E-05,3.23E-05,3.20E-05,3.39E-05,3.09E-05,3.08E-05,3.23E-05,3.27E-05,3.52E-05
AVIMOI_clean_min_charges,4.94E-05,7.64E-05,6.69E-05,8.84E-05,9.14E-05,7.23E-05,7.14E-05,7.24E-05,7.03E-05,9.14E-05
BAEDTA01_clean_min_charges,0.000122061,0.000177038,1.75E-04,1.65E-04,1.69E-04,1.85E-04,0.000184,1.79E-04,0.000180444,1.69E-04
BALMUW01_clean_min_charges,7.26E-09,3.17E-05,3.10E-05,3.25E-05,3.15E-05,3.06E-05,3.29E-05,3.16E-05,3.15E-05,3.22E-05
BALMUW_clean_min_charges,3.68E-10,2.68E-06,2.22E-06,2.67E-06,2.35E-06,2.70E-06,2.89E-06,2.55E-06,2.43E-06,2.37E-06
BARZAW_clean_min_charges,1.66E-05,3.98E-05,3.30E-05,3.90E-05,3.33E-05,4.32E-05,3.37E-05,4.03E-05,2.96E-05,3.55E-05
BENXUP_clean_min_charges,9.61E-06,0.000125293,0.000124527,0.000119941,0.000125293,0.000124527,0.000119941,0.000125293,0.000124527,0.000119941
BERGAI_clean_min_charges,0.000175685,0.000287394,0.000292746,0.000294166,0.000289284,0.000289041,0.000297554,0.000290219,0.00029248,0.000306338
BIBBUL_clean_min_charges,3.31E-07,2.18E-05,3.23E-05,2.91E-05,2.80E-05,2.33E-05,2.47E-05,2.62E-05,2.96E-05,3.77E-05
BOJCIN_clean_min_charges,3.24E-05,4.22E-05,4.48E-05,4.48E-05,4.54E-05,4.26E-05,4.54E-05,4.26E-05,4.37E-05,5.14E-05
BONWAD_clean_min_charges,1.23E-11,1.11E-08,4.12E-08,3.96E-08,5.35E-08,2.88E-08,2.08E-08,1.42E-08,4.79E-08,1.98E-08
BONWIL_clean_min_charges,3.75E-08,7.46E-05,5.95E-05,6.12E-05,6.43E-05,5.51E-05,7.81E-05,6.01E-05,6.97E-05,6.41E-05
BOWQAG_clean_min_charges,6.87E-08,4.22E-05,5.85E-05,3.73E-05,3.07E-05,3.96E-05,4.23E-05,4.60E-05,4.07E-05,4.77E-05
BUVXOG_clean_min_charges,1.54E-05,3.30E-05,3.05E-05,3.13E-05,3.04E-05,3.19E-05,3.12E-05,3.05E-05,3.16E-05,3.24E-05
CATART03_clean_min_charges,3.29E-13,5.88E-05,6.28E-05,5.85E-05,6.19E-05,5.91E-05,6.30E-05,6.19E-05,6.21E-05,5.76E-05
CEGFAW_clean_min_charges,2.77E-05,4.97E-05,5.11E-05,5.13E-05,4.93E-05,5.12E-05,5.04E-05,5.03E-05,4.94E-05,4.97E-05
CICYIX_clean_min_charges,3.39E-09,4.27E-07,6.20E-07,6.44E-07,5.48E-07,4.30E-07,5.43E-07,5.50E-07,6.45E-07,4.60E-07
CIGYAU_clean_min_charges,1.34E-05,1.14E-08,1.57E-08,1.09E-08,2.71E-07,4.20E-08,7.24E-10,5.14E-08,1.18E-07,1.67E-07
COGWEB_clean_min_charges,3.11E-05,4.85E-05,4.77E-05,5.05E-05,5.00E-05,4.94E-05,4.80E-05,4.79E-05,5.25E-05,5.01E-05
