MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
ABUWOJ_clean_min_charges,4.52933926,10.00828185,10.2471275,10.03752275,10.03752275,10.14998375,9.654071029,10.14998375,10.14998375,10.03752275,10.00828185,10.00828185
ACOLIP_clean_min_charges,14.41137837,12.91199738,14.6981156,13.90642621,13.90642621,14.6981156,14.04907758,13.90642621,13.90642621,12.91199738,14.04907758,12.91199738
AGARUW_clean_min_charges,6.424492748,21.07560962,19.81508624,22.0023702,22.0023702,19.81508624,19.63459717,19.81508624,22.0023702,21.07560962,19.63459717,21.07560962
AHOKIR01_clean_min_charges,5862029.764,49.17121258,47.2648871,56.38306205,56.38306205,47.35837105,53.19165072,47.35837105,47.35837105,56.38306205,49.17121258,49.17121258
AMILUE_clean_min_charges,7.543935177,6.692425692,6.627420334,6.663228244,6.663228244,6.660944586,6.692425692,6.522824478,6.510926138,6.692425692,6.692425692,6.692425692
AMIMEP_clean_min_charges,7.580162643,5.918197134,5.89769695,5.919375908,5.919375908,5.89769695,5.918197134,5.936962687,5.915881735,5.919872246,5.918197134,5.918197134
AMUCOB_clean_min_charges,2.679473972,2.936549304,2.638133468,2.762299708,2.762299708,2.638133468,2.715802614,2.762299708,2.762299708,2.762299708,2.896083252,2.762299708
ANUGIA_clean_min_charges,5.22645889,4.859798988,4.873593054,4.909893651,4.817965731,4.879217314,4.849804947,4.879217314,4.909893651,4.817965731,4.859798988,4.859798988
APEBED_clean_min_charges,4.386790023,12.28741394,12.75603098,12.49916877,12.28616006,13.49045824,12.160676,13.49045824,12.28616006,12.28616006,12.28616006,12.28616006
AROFET_clean_min_charges,13.00582136,10.8233476,10.80605332,10.34215218,10.8233476,10.80605332,10.9140217,10.34215218,10.34215218,10.8233476,10.8233476,10.8233476
ATOXEN_clean_min_charges,7.619089122,6.198381043,6.789203489,7.453566108,6.42274764,6.335530977,6.597926642,7.453566108,7.453566108,6.72829235,6.597926642,6.419717168
AVAQIX_clean_min_charges,9.026668137,9.755684907,9.692936793,9.991455743,9.80393681,10.13994471,10.38377994,9.892078878,10.45011752,10.03501545,10.44516284,9.929452228
AVIMOI_clean_min_charges,12.4895396,12.80626704,13.9069892,12.26182511,12.8152093,13.9069892,14.08406258,12.26182511,13.80680932,13.24159909,12.80626704,13.24159909
BAEDTA01_clean_min_charges,3.985690609,11.08243403,8.899059386,11.08243403,11.08243403,9.632128282,8.498242804,9.632128282,11.08243403,11.08243403,8.498242804,11.08243403
BALMUW01_clean_min_charges,6436.969747,111.1063535,69.65897761,84.01913417,94.89694002,98.6894125,66.53892465,84.01913417,84.01913417,155.1189229,66.53892465,111.1063535
BALMUW_clean_min_charges,15200.95046,122.9229247,161.9132752,169.4795254,179.1553898,246.0549186,122.9229247,206.4408748,145.9602808,179.1553898,122.9229247,122.9229247
BARZAW_clean_min_charges,8.961051582,4.859904256,5.134867146,5.134867146,5.134867146,5.134867146,5.000445437,5.134867146,5.134867146,5.134867146,5.000445437,4.859904256
BENXUP_clean_min_charges,19.48714906,9.38324556,8.927597852,8.925784427,9.047955798,8.967043093,9.504829157,9.379388063,9.478099036,8.942312472,9.310471753,9.233155375
BERGAI_clean_min_charges,5.045630991,16.91630646,20.11316631,18.56086866,16.91630646,16.94262933,18.56086866,17.92281181,22.52295663,16.91630646,16.91630646,16.91630646
BIBBUL_clean_min_charges,163.3891638,70.40967202,47.98142163,65.28160076,65.28160076,47.98142163,70.40967202,47.98142163,120.4127908,65.28160076,70.40967202,70.40967202
BOJCIN_clean_min_charges,3.202642431,3.002444582,3.100540567,3.008149859,3.072878793,2.955847766,3.118812604,3.032718919,2.955847766,3.002444582,2.997210504,3.002444582
BONWAD_clean_min_charges,1675.12727,190.4793345,142.5857249,142.5857249,155.2053297,142.5857249,190.4793345,142.5857249,142.5857249,155.2053297,190.4793345,190.4793345
BONWIL_clean_min_charges,5923.785865,1383.120465,1277.924045,978.6562941,430.2774071,959.607132,2994.035366,1506.773212,430.2774071,1418.566762,525.7046344,1153.870463
BOWQAG_clean_min_charges,98.66077747,12.03954797,9.379771178,10.50375787,8.492554895,10.24921504,8.569778212,9.122089233,7.630534863,10.30015212,10.17825678,10.27739803
BUVXOG_clean_min_charges,2.278111501,2.697455962,2.766045461,2.766045461,2.771235968,2.812679149,2.795823107,2.812679149,2.812679149,2.743494624,2.697455962,2.843090153
CATART03_clean_min_charges,218880.2769,1010.862881,1494.42361,1156.146913,742.6367999,3546.912625,5065.368791,999.965121,1156.146913,1010.862881,1227.991145,3010.731035
CEGFAW_clean_min_charges,1.263363465,1.673289665,1.795358087,1.795358087,1.720033372,1.795358087,1.768701241,1.795358087,1.795358087,1.720033372,1.714192586,1.673289665
CICYIX_clean_min_charges,51.14194688,3.899469515,3.924916031,3.852638436,4.12210326,3.81589334,3.805570928,3.916149485,4.022983063,3.9335173,3.934623825,4.11898637
CIGYAU_clean_min_charges,9.062108537,55.89541407,58.56057207,66.46038695,47.17657611,60.64639635,108.5710234,60.64639635,60.64639635,65.48733549,68.879065,53.08798662
COGWEB_clean_min_charges,9.66617122,10.50861114,10.31511745,10.75186794,10.35945134,10.2512601,10.50861114,10.2512601,10.2512601,10.37272279,10.50861114,10.11056062
CUHPUR_clean_min_charges,6.162986196,7.832209793,7.721912626,7.832209793,7.832209793,7.832209793,7.832209793,7.832209793,7.832209793,7.832209793,7.832209793,7.832209793
CUNWEO_clean_min_charges,1.709865052,1.2485471,2.148541,0.011505524,2.491464407,2.491464407,2.546529877,2.556822191,2.479139201,2.556822191,2.556822191,2.535868721
CUNXIS10_clean_min_charges,629.5685754,2317.80118,4485.493986,4485.493986,2317.80118,4485.493986,1170.984186,4485.493986,4485.493986,2317.80118,1042.083059,1929.770176
CUNXIS_clean_min_charges,372.2920925,7406.571112,6867.537321,32470.49408,35165.83443,45154.8822,27235.62415,26598.48305,29118.45779,109807.514,6589.668745,7406.571112
CUTKOS_clean_min_charges,5.578138694,4.282235354,4.169121305,4.282235354,4.282235354,4.169121305,4.22982393,4.169121305,4.169121305,4.282235354,4.230526322,4.282235354
CUYHIO_clean_min_charges,10797.5492,24.27503882,19.40567915,22.49441674,20.65274248,18.74714745,24.89193048,22.13982072,18.74714745,27.39458366,22.55328525,26.53115566
DAGDIZ_clean_min_charges,4.431106686,3.564011041,4.880082466,5.045450777,5.282332879,3.761991063,5.246390681,5.282332879,2.761991063,5.246390681,5.282332879,2.761991063
DAJHUS_clean_min_charges,10.82444608,1.470018049,1.443014295,1.491134274,1.470018049,1.347841171,1.490971559,1.566158773,1.490971559,1.470018049,1.499982137,1.414406035
DEGJIK_clean_min_charges,5.98895978,4.259853716,4.034679571,4.508242179,4.629338622,4.28753523,4.259853716,4.472297518,4.629338622,4.287210146,4.266071963,4.212782667
DEYLUQ_clean_min_charges,8.936138943,11.30277188,10.04539268,10.2390924,10.98383953,10.30970492,10.071997,10.30970492,9.899341393,9.803278153,9.836882216,11.1787584
DEYVUA_clean_min_charges,6.218322152,7.01986905,7.164462594,6.654324443,6.923556085,7.104964139,7.031403598,6.749380374,6.754692915,6.852766869,6.877344297,6.950379432
DIDDOK_clean_min_charges,4.780945278,4.509517294,4.438134676,4.529568375,4.480012227,4.438134676,4.405708442,4.461281838,4.509630442,4.480012227,4.509517294,4.509517294
DOGZIJ_clean_min_charges,4.614747593,6.202504112,6.083146248,6.226905386,6.017077983,6.353900222,6.062367051,6.353900222,5.958342172,6.779914746,6.372636608,6.490469941
DOQGUM_clean_min_charges,10100.67155,351.130288,439.834489,539.2682087,351.130288,539.2682087,427.9476214,539.2682087,539.2682087,351.130288,377.4249712,351.130288
ECIWUJ_clean_min_charges,22.57348205,13.75344348,14.52121667,14.73861748,11.65536622,14.49512605,14.71625671,12.97628773,16.47144723,12.54758914,12.31181196,14.0048333
ECODEG_clean_min_charges,7.83485562,11.16725626,11.72923076,11.08412944,11.16247364,11.72923076,11.00482791,10.97762942,10.83700904,11.33967592,11.00482791,11.83897418
EDADIX_clean_min_charges,7.959956463,10.78294057,10.81497961,11.54120077,10.25271729,10.11152422,10.38648686,10.11152422,11.54120077,10.25271729,10.78294057,11.13893347
EDUSIF_clean_min_charges,3.12954468,3.712722721,3.743727376,3.737213825,3.750274464,3.743727376,3.74321221,3.69856595,3.721952628,3.725671544,3.721534694,3.712722721
EKOPIE_clean_min_charges,15.94788475,25.4490567,25.11344968,,25.10600459,26.16627293,24.36740812,26.25474174,26.5750508,26.18228076,25.4490567,25.4490567
EKOPOK_clean_min_charges,25.64012121,20.52666323,22.37776815,22.02083254,21.69733142,21.19362591,20.52666323,22.29732138,22.38408373,23.15454685,20.52666323,20.52666323
EMITUQ_clean_min_charges,,10.09042038,9.761627648,10.17001186,10.32568328,10.11007592,10.33958003,10.19515542,10.10825628,10.19704749,10.09042038,9.984447176
ESEVIH_clean_min_charges,10.50463271,16.01776622,16.04867522,16.41935783,16.41935783,15.7313686,15.98851254,15.7313686,16.32706498,16.14575666,16.01776622,15.99734857
EZABEN_clean_min_charges,22.87811042,17.68326332,18.21998966,18.58066105,17.94198251,18.8997944,17.66692044,18.33472173,17.49431258,17.7965859,17.68326332,17.68326332
EZUCIM_clean_min_charges,5.728919297,9.58963556,9.759426793,10.07158465,10.07158465,10.01393264,9.684176484,10.01393264,10.07158465,9.682696914,10.01350146,9.921897774
FAKLOU_clean_min_charges,10.65907839,9.244983216,9.30957913,9.348626235,9.09150226,9.185121953,9.357629374,9.262321428,9.262321428,9.278807381,9.268878568,9.32078525
FAPTIB_clean_min_charges,7.446103676,6.472801264,6.685931909,6.334824906,6.484338883,6.685931909,6.138514867,6.339528352,6.334824906,6.316333991,6.432069388,6.528337368
FAPTOH_clean_min_charges,6.301478518,6.507607497,6.355628978,,6.648488829,6.597789103,6.496502703,6.637318482,6.743182085,6.481405743,6.503466446,6.507607497
FECWOB01_clean_min_charges,5.888636301,13.87760952,12.70826704,13.02147279,12.78735717,13.02468934,13.06918893,14.76850848,12.50242015,13.39164467,14.23890719,14.73317513
FECZAQ_manual_min_charges,6.737613034,7.561764841,7.36104249,7.391003675,7.475016691,7.433868556,7.329897164,7.454254307,7.406155569,7.51695814,7.500848855,7.412479429
FERHAN_clean_min_charges,6.183209392,5.672745109,5.634202561,5.537259576,5.710729987,5.579067246,5.607338733,5.629511878,5.537259576,5.599945112,5.68029,5.672745109
FEWGUL_clean_min_charges,5.684560792,5.517959649,5.556848835,5.193613129,5.092160805,4.878624667,4.857383398,5.421586783,4.99586166,5.497922321,5.517959649,4.835582605
FEZREJ_clean_min_charges,24.3544847,24.56087868,24.18494906,25.46051414,24.53047702,23.37113484,24.81245985,24.0875442,24.01629082,24.53047702,23.96984985,24.53047702
FIJCUX01_clean_min_charges,6.073870788,4.640707456,4.724531932,4.690790564,4.618398412,4.730847466,4.78752797,4.574420738,4.648250906,4.618398412,4.78752797,4.685443364
FIJCUX_clean_min_charges,7.341871574,6.534710125,6.45335054,6.319807851,6.370515108,6.45335054,6.575785853,6.429183878,6.416509693,6.473046769,6.575785853,6.455561943
FIPWOS_clean_min_charges,12.82484345,26.91542085,22.86370372,26.05655021,26.05655021,26.74368798,25.45739267,22.94639707,24.2116664,21.7649,24.32038567,27.8114334
FIPXEJ_clean_min_charges,8.722915279,14.21829813,13.20251233,14.29463042,13.51452228,13.20251233,15.85160995,15.26948636,14.66594814,14.1888932,14.21829813,15.11267108
FIRVEH_clean_min_charges,13.77101727,53.67711003,54.23335471,51.44075488,53.23606858,53.9083345,53.28641394,52.05226807,51.16445183,53.23606858,53.28641394,53.67711003
FOHCIP_clean_min_charges,4.480500871,9.502826065,9.555255284,10.02194005,10.02194005,9.555255284,9.678052532,9.62094589,9.751080737,9.648600407,9.302734263,9.646299688
FUNBAS_clean_min_charges,9.77329134,7.952297658,7.309585906,7.916418668,7.916418668,7.449104348,7.695448447,7.799830089,7.799830089,8.000366103,7.429518484,7.453930733
FUNBIA_clean_min_charges,9.598599854,9.853667487,9.350324184,9.516517783,9.607607426,9.691753881,9.950159586,9.752205661,9.914667329,9.981097699,9.699108189,9.818636496
FUNBOG_clean_min_charges,4.562363168,4.421383337,4.509352953,4.458914931,4.405420525,4.412368593,4.464503614,4.468155415,4.458914931,4.406470475,4.453385472,
FUNCAT_clean_min_charges,6.32366888,6.016018687,6.209275504,6.033957408,6.067022473,6.145173154,5.931070196,6.083276291,6.083276291,6.026136819,6.066535757,5.923660245
FUNCEX_clean_min_charges,3.504052625,3.38338036,3.370702863,3.358566826,3.364394588,3.375877596,3.378546661,3.375877596,3.375877596,3.383880143,3.390553214,3.367693763
GACQAE_clean_min_charges,,,5.233663512,5.214152463,5.204631149,5.319506449,5.285597875,,5.255436296,5.280348422,,5.218502682
GALCED_clean_min_charges,8.278972219,5.515304622,5.633348018,5.795402337,5.795402337,5.626191493,5.629934524,5.553743591,5.584568407,5.467091663,5.627815799,5.728089018
GAXWEJ_clean_min_charges,13.28557462,15.28943724,15.03291691,17.43810402,15.39050745,15.03291691,16.1439111,15.03291691,16.12421296,15.09303023,15.28943724,15.28943724
GAYFUJ_clean_min_charges,5.034325929,7.420458407,7.471381793,7.522082685,7.563335545,7.449480133,7.419482152,7.449480133,7.449480133,7.462046598,7.404862303,7.462046598
GIDKOU_clean_min_charges,17.28144722,36.57931331,37.42224498,42.37167883,37.48790476,35.60388969,33.27390129,44.75305314,34.59355952,29.38377448,31.22871656,34.14798619
GIHBII_clean_min_charges,168.0213354,299.5415445,297.4737453,272.2937097,2304.247724,427.464846,382.5304835,496.4601378,347.9675108,406.3252313,293.880759,325.4571906
GIMSIG_clean_min_charges,4.565099201,10.95497615,11.39881279,11.16699377,10.83971369,11.39881279,10.73741567,11.70141945,11.17987143,10.8248053,11.05766818,10.95497615
GINLIA_clean_min_charges,7.494785143,9.139799918,8.873983468,9.079711473,9.19069545,9.015921275,8.870404011,8.98980001,9.079711473,8.967856039,9.097691598,9.056731915
GITWIQ_clean_min_charges,5.87960418,4.206940605,4.133362306,4.171711277,4.166998131,4.204160007,4.299662428,4.258287544,4.171711277,4.091355245,4.147119899,4.267024986
GIZJOP_clean_min_charges,8.532940886,4.62801386,4.693057193,4.79113671,4.566875241,4.592071724,4.611864088,4.521311516,4.706249437,4.60087419,4.610447971,4.504838916
GOMRAC_clean_min_charges,258.3268092,2068.218704,10367.95275,3844.241927,6410.605563,2977.389289,4351.62192,13828.95257,6958.682628,2663.600947,20529.89205,6862.935205
GOMREG_clean_min_charges,340.3732383,117.7352025,96.67965707,108.0991104,112.2687696,106.7092924,83.23436536,98.68311099,109.3480038,105.6878656,103.3287594,99.78608785
GULPIN_clean_min_charges,12.07880266,9.582078781,8.928187922,10.41751942,9.995122865,10.47428508,10.02706759,9.478360958,9.995122865,8.586271964,9.71318315,10.50536212
GUWDUY_clean_min_charges,6.652096215,18.24937942,17.74748487,17.41464696,18.22198454,18.57231696,18.31718727,18.06076778,17.77906665,17.11190256,18.85973198,17.68015316
GUXLIU_clean_min_charges,7.639226209,304.1947858,305.567362,380.4135002,380.4135002,274.918438,272.6384357,380.4135002,380.4135002,380.4135002,304.1947858,304.1947858
GUYLUI01_clean_min_charges,11.2594334,123.7242074,114.4096835,123.7242074,123.7242074,114.4096835,150.2953428,167.9161507,114.4096835,123.7242074,123.7242074,123.7242074
GUYLUI_clean_min_charges,11.3308696,50.55673697,51.52869338,86.34014439,75.80796717,55.84336945,68.18460804,86.34014439,86.34014439,59.21102429,68.18460804,83.07597508
HABRIN_clean_min_charges,2837.398125,23.44597569,19.58613662,22.44001275,22.44001275,24.11501401,18.87356357,18.35615069,19.05961631,20.82926736,23.44597569,20.82926736
HAFQUC_clean_min_charges,79.07786855,7.134619816,7.159527605,7.275018466,7.275018466,7.128105408,7.134619816,7.128105408,7.128105408,7.167712586,7.134619816,7.134619816
HAKWUM_clean_min_charges,292.3453,6.079895983,6.112874522,5.760325716,5.44207125,6.112874522,6.079895983,6.112874522,5.695950322,6.253537165,6.079895983,6.051166047
HAMJOW_clean_min_charges,,10.29560383,10.91084974,10.57748809,10.72559086,11.02502714,10.62784186,11.02502714,10.3783862,10.77500846,10.86045197,10.82920673
HEGJUZ_clean_min_charges,,9.405654682,9.30670721,8.862057015,8.862057015,9.562599414,9.826128451,9.04783088,9.778204491,9.813558756,9.169561048,8.910500435
HICVUM_clean_min_charges,10.81118986,12.38887687,12.45042329,12.16612027,12.16612027,12.73353936,12.70642689,12.77711745,12.29002501,12.42713658,12.70642689,12.3513302
HIFTOG01_clean_min_charges,3.218962688,3.867691124,40.94185835,39.69258943,41.66561778,42.53631982,3.828338172,40.24624489,40.35166689,41.45246856,3.867691124,3.878883417
HIFTOG02_clean_min_charges,6.480525675,7.422370552,7.409764242,7.391000065,7.405644365,7.572041942,7.559334298,7.426870937,7.366528622,7.364255611,7.43463429,7.469736743
HIFTOG_clean_min_charges,6.531421941,7.531666963,7.477322767,7.372639108,7.420612747,7.391784344,7.531666963,7.391784344,7.372639108,7.420612747,7.531666963,7.531666963
