MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
ABUWOJ_clean_min_charges,1.382699461,1.376651991,1.341136588,1.292263077,1.292263077,1.323298801,1.333506835,1.323298801,1.323298801,1.292263077,1.376651991,1.376651991
ACOLIP_clean_min_charges,1.372321609,1.935389716,1.814899941,2.05511668,2.05511668,1.760434006,1.820213657,1.760434006,2.05511668,1.935389716,1.820213657,1.935389716
AGARUW_clean_min_charges,1.452413148,1.893014094,1.7245803,1.709104514,1.709104514,1.7245803,1.726882721,1.7245803,1.709104514,1.893014094,1.726882721,1.893014094
AHOKIR01_clean_min_charges,0.457299431,0.787320612,0.606981132,0.650147612,0.749422307,0.606981132,0.699339659,0.642785543,0.650147612,0.536640106,0.787320612,0.787320612
AMILUE_clean_min_charges,1.657332071,1.50045718,1.487193056,1.50045718,1.50045718,1.487193056,1.520827148,1.50045718,1.50045718,1.50045718,1.520827148,1.50045718
AMIMEP_clean_min_charges,1.677081177,1.56470337,1.51115317,1.574279558,1.53175843,1.555793621,1.553689026,1.526728305,1.517320772,1.53175843,1.509137739,1.53175843
AMUCOB_clean_min_charges,1.322160941,1.93698349,2.452198823,1.63737289,1.559461991,1.958173393,1.93698349,1.749192487,1.71326186,2.030182899,1.93698349,1.660756847
ANUGIA_clean_min_charges,1.541198557,1.510035145,1.535402437,1.519926081,1.519926081,1.535402437,1.51918975,1.51118061,1.519926081,1.510035145,1.510035145,1.510035145
APEBED_clean_min_charges,2.589939155,1.219973602,1.16096428,1.430580322,1.296575944,1.16096428,1.219973602,1.231762875,1.430580322,1.18044154,1.219973602,1.219973602
AROFET_clean_min_charges,1.454849958,1.567111889,1.550558251,1.475460946,1.564930578,1.550558251,1.624613175,1.574936325,1.570314966,1.567111889,1.501809235,1.567111889
ATOXEN_clean_min_charges,0.703221856,0.665107844,0.685646279,0.832750649,0.785038471,0.683020497,0.67637224,0.750703002,0.568233013,0.76441344,0.883944594,0.76441344
AVAQIX_clean_min_charges,1.54610059,1.602791632,1.483579497,1.308245636,1.524000122,1.483579497,1.526259205,1.519224343,1.519224343,1.458909369,1.381982316,1.385408002
AVIMOI_clean_min_charges,1.526899459,1.225001302,1.427987583,1.524084569,1.524084569,1.439947959,1.225001302,1.294403719,1.524084569,1.524084569,1.225001302,1.524084569
BAEDTA01_clean_min_charges,2.082325025,2.532450001,2.532450001,2.532450001,2.532450001,2.532450001,3.203344379,2.532450001,2.532450001,2.532450001,2.532450001,2.532450001
BALMUW01_clean_min_charges,0.425098144,1.941826628,1.717491833,2.11268106,2.11268106,1.717491833,1.941826628,1.717491833,2.11268106,2.11268106,1.941826628,2.11268106
BALMUW_clean_min_charges,0.28192585,1.162476467,1.139249087,1.323663134,0.943857338,1.206494814,1.162476467,1.323663134,1.156662098,1.084324263,1.276198598,1.286106998
BARZAW_clean_min_charges,1.541208023,1.691128767,1.31926535,1.691128767,1.691128767,1.691128767,1.691128767,1.691128767,1.691128767,1.691128767,1.691128767,1.691128767
BENXUP_clean_min_charges,0.880408435,1.490784575,1.497387055,1.497364724,1.648359516,1.988429523,1.723185985,1.988429523,1.574154967,1.574154967,1.551998537,1.646448857
BERGAI_clean_min_charges,1.86672057,3.165479122,2.979544753,4.543000673,2.357151653,2.351773094,3.073654287,2.81193029,2.834433548,3.394524796,2.013508189,2.549226156
BIBBUL_clean_min_charges,0.402226618,0.97449548,0.870330971,0.97449548,0.97449548,0.870330971,0.9545513,0.870330971,0.97449548,0.97449548,0.9545513,0.97449548
BOJCIN_clean_min_charges,1.608223282,1.470310587,1.536930477,1.47498334,1.792221732,1.584862863,1.754863928,1.618767137,1.779093361,1.568529943,1.754863928,1.568529943
BONWAD_clean_min_charges,0.019602318,0.175650575,0.166424691,0.15018144,0.15018144,0.15018144,0.175650575,0.15018144,0.15018144,0.175650575,0.175650575,0.175650575
BONWIL_clean_min_charges,0.604143017,1.729743872,1.544599109,1.738107883,1.48231772,0.808957516,1.634337641,1.60566668,1.269842605,1.33116916,1.209353206,0.937566227
BOWQAG_clean_min_charges,0.356700125,1.010820581,0.647859171,0.660420763,0.660420763,0.868858173,0.663890654,0.553557048,0.885131324,0.794410804,0.773209831,0.849355129
