MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
ABUWOJ_clean_min_charges,0.217393117,0.250567448,0.250220405,0.250901814,0.250901814,0.250899159,0.251275551,0.250899159,0.250899159,0.250901814,0.250567448,0.250567448
ACOLIP_clean_min_charges,0.270376132,0.154714533,0.163816256,0.149503354,0.149503354,0.163816256,0.158670376,0.163816256,0.149503354,0.154714533,0.158670376,0.154714533
AGARUW_clean_min_charges,0.202781162,0.217281971,0.221713423,0.213573126,0.213573126,0.221713423,0.218282125,0.221713423,0.213573126,0.217281971,0.218282125,0.217281971
AHOKIR01_clean_min_charges,4.875836262,1.301662214,1.243851834,1.374053134,1.257897513,1.162231726,1.301662214,1.211037467,1.279112311,1.257897513,1.301662214,1.257897513
AMILUE_clean_min_charges,0.241800776,0.268588805,0.270223337,0.275823741,0.275823741,0.27012055,0.277250885,0.271084789,0.272664365,0.275823741,0.268348964,0.270234735
AMIMEP_clean_min_charges,0.247227694,0.25453162,0.253861216,0.252352567,0.255176872,0.258501745,0.253825125,0.256415121,0.253230938,0.251332688,0.253155658,0.25006179
AMUCOB_clean_min_charges,0.429280384,0.107795284,0.100785663,0.116256595,0.110026426,0.106990008,0.100889783,0.105928906,0.108761157,0.105864995,0.101074247,0.109847962
ANUGIA_clean_min_charges,0.317226805,0.322139554,0.325110373,0.324372859,0.326411677,0.324372859,0.325214846,0.324372859,0.324372859,0.323924658,0.322139554,0.321268197
APEBED_clean_min_charges,0.227291665,0.281571764,0.300229346,0.28046201,0.28046201,0.304554516,0.283620606,0.27393355,0.27393355,0.28046201,0.291307819,0.28046201
AROFET_clean_min_charges,0.202845924,0.207877942,0.20497876,0.205353943,0.205353943,0.209024373,0.20497876,0.209024373,0.209024373,0.208703268,0.20497876,0.213813038
ATOXEN_clean_min_charges,0.204823979,0.285715935,0.300564121,0.270970868,0.270970868,0.300564121,0.291241001,0.300564121,0.270970868,0.285715935,0.291241001,0.285715935
AVAQIX_clean_min_charges,0.142900172,0.206854271,0.198038667,0.211709033,0.198754761,0.205183894,0.211377844,0.209081974,0.205507078,0.201622466,0.205454662,0.204496245
AVIMOI_clean_min_charges,0.209399952,0.222340625,0.235082036,0.229089462,0.229089462,0.229089462,0.222340625,0.229089462,0.229089462,0.233473009,0.236288266,0.222340625
BAEDTA01_clean_min_charges,0.064620457,0.06853712,0.055778,0.063999165,0.063518072,0.060581864,0.065140294,0.056438038,0.067539425,0.053398025,0.060580176,0.06853712
BALMUW01_clean_min_charges,5.403143061,0.180605579,0.187242207,0.202223302,0.167461844,0.17154596,0.193899375,0.182059956,0.182059956,0.167461844,0.180605579,0.180605579
BALMUW_clean_min_charges,23.66137277,0.530267908,0.530267908,0.534092727,0.534092727,0.534092727,0.530267908,0.534092727,0.534092727,0.534092727,0.530267908,0.530267908
BARZAW_clean_min_charges,0.234836311,0.223428824,0.213381291,0.223428824,0.223428824,0.213381291,0.223428824,0.213381291,0.223428824,0.223428824,0.223428824,0.223428824
