MOF,rigid,snap_0,snap_1,snap_2,snap_3,snap_4,snap_5,snap_6,snap_7,snap_8,snap_9,snap_10
ABUWOJ_clean_min_charges,2.101247902,2.015716791,1.974020889,2.084300615,2.084300615,1.974020889,2.4088864,1.974020889,2.084300615,1.918982461,1.918982461,1.918982461
ACOLIP_clean_min_charges,0.720119276,2.787979616,2.636975564,1.935560562,1.935560562,1.95939931,2.165779058,1.95939931,1.95939931,1.935560562,2.787979616,2.787979616
AGARUW_clean_min_charges,3.225080453,2.734949374,2.69635512,3.352171553,3.352171553,2.725848824,2.917251344,2.725848824,2.725848824,3.352171553,2.734949374,2.734949374
AHOKIR01_clean_min_charges,0.180750298,0.607688852,0.569684044,0.482483704,0.607626511,0.522547313,0.678804301,0.621511092,0.621511092,0.502865726,0.678804301,0.437973867
AMILUE_clean_min_charges,2.044410354,1.854502137,1.853651304,1.848756319,1.845241189,1.853327963,1.856235769,1.846799931,1.863688592,1.858520629,1.84409866,1.858750732
AMIMEP_clean_min_charges,,1.831502753,1.834108199,1.837163765,1.843476253,1.845151268,1.828467255,1.832125091,1.832125091,1.81810753,1.862818878,1.845097497
AMUCOB_clean_min_charges,0.071578077,0.995144332,1.984180289,2.144515517,1.393588099,1.984180289,1.475339133,1.556256886,2.02789996,2.113338544,1.475339133,1.914090846
ANUGIA_clean_min_charges,2.421902654,2.277108195,2.383501267,2.383501267,1.830521855,2.383501267,2.383501267,2.383501267,2.383501267,1.848100628,2.385478301,2.389900372
APEBED_clean_min_charges,3.868284849,1.980113929,1.94642873,1.980113929,1.980113929,1.94642873,1.94642873,1.94642873,1.94642873,1.980113929,1.94642873,1.980113929
AROFET_clean_min_charges,2.054156871,2.28715107,2.126869889,2.126869889,2.175757823,2.126869889,2.858651873,2.126869889,2.126869889,2.28715107,2.367677558,2.28715107
ATOXEN_clean_min_charges,2.175456013,0.799685422,1.324900773,1.104606772,1.104606772,0.71833084,0.935324315,0.907624243,0.643877792,1.104606772,0.915841343,0.715877221
AVAQIX_clean_min_charges,1.129691598,2.077655452,2.119317225,2.025099087,1.894487849,2.119317225,2.350657252,2.025099087,2.025099087,1.894487849,1.642819323,1.894487849
AVIMOI_clean_min_charges,1.691767328,1.624869012,1.804096066,1.32990254,1.32990254,1.804096066,1.770984421,1.624869012,1.624869012,1.32990254,1.624869012,1.624869012
BAEDTA01_clean_min_charges,1.850072118,2.449145164,2.866437342,2.449145164,2.449145164,3.637969637,2.808423447,3.637969637,3.637969637,2.449145164,2.808423447,2.449145164
BALMUW01_clean_min_charges,0,1.045648145,1.134024609,1.134024609,1.134024609,0.677545161,0.677545161,0.677545161,1.134024609,1.051272453,0.677545161,1.111904605
BALMUW_clean_min_charges,0,0.08234271,0.13066609,0.08234271,0.08234271,0.13066609,0.13795395,0.13066609,0.08234271,0.08234271,0.13795395,0.08234271
BARZAW_clean_min_charges,1.312127511,1.405681593,2.126782193,2.25851987,2.25851987,1.66662765,1.405681593,1.91173521,2.748941967,2.25851987,1.405681593,1.405681593
BENXUP_clean_min_charges,0.801707552,1.702023633,1.895270645,1.497930631,1.452500884,1.895270645,1.282555923,1.895270645,1.639575382,1.383571653,1.680460763,0.931774644
BERGAI_clean_min_charges,2.373952072,2.876746265,2.151259178,3.872177857,2.202775746,2.222684676,1.845633801,3.576961206,3.745500088,2.309725109,1.697288625,3.054075644
BIBBUL_clean_min_charges,0.175235523,0.697677497,0.877666879,1.270254183,0.801915383,1.332921048,0.784316472,0.73156968,0.722794962,0.92801558,0.697677497,0.755362534
BOJCIN_clean_min_charges,1.449304555,2.195167706,1.939414252,1.939414252,1.939414252,1.939414252,1.8697035,1.939414252,1.939414252,2.113339517,2.247606774,2.113339517
BONWAD_clean_min_charges,0,0.214746991,0.004853885,0.036525958,0.103274088,0.117630108,0.099441254,0.055272793,0.057961278,0.200724582,0.10923319,0.011559408
BONWIL_clean_min_charges,0.185690036,2.095099585,1.632873802,1.598912754,2.796768933,0.978434189,2.084054571,0.978434189,1.608002671,1.914217788,2.100860882,1.970636032
BOWQAG_clean_min_charges,0.069088427,1.422201783,0.80083048,1.26057501,0.759278036,0.80083048,0.968647083,2.052993246,1.553611608,0.764673352,0.968647083,0.565169699
BUVXOG_clean_min_charges,0.998960031,1.869017332,1.843313108,1.405792919,1.712300263,1.313855929,1.375831811,1.405792919,1.405792919,1.940233038,1.375831811,2.320432208
CATART03_clean_min_charges,0,0.888239219,0.897624654,0.957707795,0.957707795,0.897624654,0.978735656,1.168575453,1.168575453,0.788460772,0.888239219,1.082199237
CEGFAW_clean_min_charges,0.698413271,0.709416938,0.841855003,0.664012448,0.759139824,0.523781936,0.523131244,0.795899909,0.664012448,0.795899909,0.38277663,0.569648424
CICYIX_clean_min_charges,0,0,0,0,0,0,0.58588703,0.19205343,0,0,0.058115319,0
CIGYAU_clean_min_charges,0.213128017,0.014134819,0.279114137,0.279114137,0.013115183,0.279114137,0.027212557,0.279114137,0.279114137,0.074770397,0.027212557,0.020072129
COGWEB_clean_min_charges,2.068569184,2.260814796,2.685797022,2.685797022,2.91309346,2.685797022,2.205430058,2.685797022,2.685797022,2.91309346,2.138750038,2.91309346
CUHPUR_clean_min_charges,,1.838489631,1.848842561,1.868712298,1.868712298,1.858148974,1.845222272,1.874227137,1.868712298,1.85241479,1.845222272,1.85241479
CUNWEO_clean_min_charges,2.31801083,2.300022821,2.439573767,1.876914818,1.959028165,2.140893159,2.159324173,1.834906427,1.876914818,1.959028165,1.876914818,1.959028165
CUNXIS10_clean_min_charges,1.272726478,0.769360178,0.229562715,0.115279339,0.333500892,0.367688645,0.25623639,0.133208786,0.229562715,0.200099266,0.249614005,0.769360178
CUNXIS_clean_min_charges,0.999999427,0.338382013,0.278017612,0.230693096,0.230693096,0.216916167,0.267347365,0.362873285,0.278017612,0.342191911,0.373572463,0.327692471
CUTKOS_clean_min_charges,2.997832255,1.97801772,2.384546347,1.961963255,1.598675925,2.092044984,2.28690574,2.221710814,2.28690574,1.914937006,2.28690574,1.562780287
CUYHIO_clean_min_charges,0,1.107265738,0.813173222,0.574877082,0.579081776,0.169568547,0.38399227,0.813173222,0.316048187,0.813173222,0.168371094,0.14331794
DAGDIZ_clean_min_charges,2.204103824,2.197062979,2.393135368,2.358802445,2.270663466,2.358802445,2.297649089,2.2157379,2.168031836,2.356723096,2.297649089,2.197062979
DAJHUS_clean_min_charges,1.56120941,0.852713197,0.54829225,0.829395972,0.438813512,0.54829225,0.18088788,0.687439848,0.621114033,0.341987693,0.852713197,0.432225129
DEGJIK_clean_min_charges,4.810679001,4.288842933,6.384689953,4.640291135,4.931910719,4.061566937,4.103940218,8.72581347,4.640291135,6.06967149,5.230175555,3.837471488
DEYLUQ_clean_min_charges,1.86479916,2.276593677,2.289350972,2.144828606,1.937074773,1.609370947,1.942518897,2.121957376,2.326560221,1.937743191,1.942518897,1.937743191
DEYVUA_clean_min_charges,1.88956146,2.105363862,1.594343197,2.455384715,1.871374481,2.317853271,2.098110153,2.731655882,1.635753827,1.871374481,1.900005871,2.935956173
DIDDOK_clean_min_charges,2.614157176,2.424463416,2.486554491,2.369441099,2.304343442,2.508371572,2.325439127,2.411439569,2.411439569,2.404460642,2.424463416,2.424463416
DOGZIJ_clean_min_charges,1.552394532,2.29456671,1.800975439,1.830231401,2.537049566,1.800975439,2.43671368,1.728410541,1.570733406,1.206474889,2.43671368,2.001575695
DOQGUM_clean_min_charges,0.049800508,0.666862141,0.505045485,0.669507327,1.136606305,0.559623633,0.719048661,0.543766706,1.141139723,0.50525591,1.024933191,0.650239613
ECIWUJ_clean_min_charges,0,0.431072984,0.168603556,0.206223622,0.206223622,0.538225494,0.540514066,0.563177497,0.599460012,0.602593903,0.567527633,0.646833568
ECODEG_clean_min_charges,0.990853396,1.851224037,1.993298915,2.873843885,2.873843885,1.993298915,2.053173653,2.587709416,2.359580981,2.106315396,2.117665722,1.851224037
EDADIX_clean_min_charges,1.014151048,1.303078316,1.130011585,0.884979948,1.351229918,1.130011585,1.206767668,1.002702835,1.002702835,1.351229918,1.276127654,1.373187198
EDUSIF_clean_min_charges,2.493521057,2.407811188,2.378015638,2.524559319,2.534069175,2.458778118,2.438247035,2.428137701,2.428137701,2.409459209,2.438247035,2.301253346
EKOPIE_clean_min_charges,1.805071452,2.082962411,2.526059001,2.168246036,2.357102809,2.168246036,1.750601027,2.168246036,2.168246036,2.357102809,2.082962411,2.357102809
EKOPOK_clean_min_charges,2.425475507,1.792914774,1.777172302,2.296627098,2.507094545,2.523420787,3.031814479,2.848312948,1.64443733,2.857680963,2.298600538,2.34684249
EMITUQ_clean_min_charges,2.365033279,2.447476157,2.304940159,2.580961172,2.690517342,2.485735262,2.717258278,2.465237475,2.465237475,1.897322604,2.447476157,2.746287429
ESEVIH_clean_min_charges,2.208141618,2.579477752,1.823507527,2.411296746,2.071896909,2.359818888,1.857996861,2.153874393,2.153874393,1.90860763,2.09233965,2.205511519
EZABEN_clean_min_charges,2.650993911,2.078835804,2.318297683,2.283322826,2.15428464,2.020326712,2.20389184,2.219459584,2.283322826,2.078835804,2.142609517,2.078835804
EZUCIM_clean_min_charges,1.784202129,2.675335559,1.655727922,2.777741905,2.046662244,2.383808146,2.266788107,2.383808146,1.874033929,2.148659832,2.054535652,2.675335559
FAKLOU_clean_min_charges,2.526068911,2.299997181,2.40007062,2.164958777,2.412072036,2.275374701,2.238045816,2.250920837,2.311973296,2.370156043,2.390089066,2.462845665
FAPTIB_clean_min_charges,2.032123313,2.405294865,2.270020886,1.769393877,1.769393877,2.099826919,2.231946002,2.100633242,2.323068778,2.295149912,2.231946002,2.245248304
FAPTOH_clean_min_charges,2.077172115,2.127709134,2.06497138,1.858061168,1.85378941,1.832557069,2.01830272,2.126754837,2.540749806,2.068951771,2.127709134,2.068951771
FECWOB01_clean_min_charges,1.457605978,1.080476026,1.391840643,1.066441211,1.066441211,0.967307003,0.764338273,1.064565004,0.772182468,1.545643463,1.321292968,1.080476026
FECZAQ_manual_min_charges,2.34818146,2.068261743,2.17522118,2.161777933,2.249336586,2.635420185,2.576097921,2.683867073,2.306291656,2.169552728,2.25580567,2.397541635
FERHAN_clean_min_charges,2.529187551,2.44617313,1.857164266,2.644434095,2.241125641,2.591669769,2.511357812,2.354493323,2.644434095,2.307227102,2.257571028,2.344551243
FEWGUL_clean_min_charges,2.051565772,0.948579819,1.427959845,0.866889013,1.357963024,1.427511479,0.996095498,1.427511479,0.866889013,1.06827823,0.948579819,1.018360858
FEZREJ_clean_min_charges,2.584944868,2.546553194,2.496208496,2.388235239,2.327787352,2.52829244,2.569630487,2.340996956,2.454260633,2.693435483,2.824714396,2.693435483
FIJCUX01_clean_min_charges,1.63379293,1.793915286,1.52967838,1.674426789,1.782423823,1.715538671,1.702838501,1.910973778,1.935098696,1.876907112,2.123561721,1.919984143
FIJCUX_clean_min_charges,1.97881604,2.387222081,2.152691943,1.70991407,1.855670739,1.975720313,1.856957356,2.05523699,2.142865251,1.855670739,2.125752628,2.264218293
FIPWOS_clean_min_charges,3.143103674,2.088690027,1.97866769,2.017363056,2.16371226,2.435277315,2.743384393,2.038587059,2.038587059,1.712736544,2.087734755,2.753231728
FIPXEJ_clean_min_charges,1.296579511,3.441675094,1.848219922,3.043113914,3.11256001,2.439276828,3.535613524,3.202866376,2.244171867,3.11256001,3.652132218,1.858628403
FIRVEH_clean_min_charges,2.007384949,2.347455375,2.193309462,2.599032631,2.439469922,2.193309462,2.596463699,2.565424998,2.599032631,2.686538743,2.445239567,2.481485103
FOHCIP_clean_min_charges,1.352306294,2.15147509,2.066865999,1.877384582,2.07153692,1.900791461,1.904589147,1.785334912,2.016328992,2.07153692,2.031111955,2.096582095
FUNBAS_clean_min_charges,1.672871891,0.9954739,1.447917436,1.139853157,1.139853157,1.857446791,0.9954739,1.139853157,1.139853157,1.131997767,0.9954739,1.700732679
FUNBIA_clean_min_charges,1.948409065,1.634180784,2.354790295,1.93530771,2.040594658,1.919908871,1.879468906,1.836070741,1.836070741,1.939858095,2.169607231,1.634180784
FUNBOG_clean_min_charges,2.580188633,1.840690605,1.849325241,1.861744482,1.828930199,1.829088417,1.816805815,1.892913899,1.85570411,1.840690605,1.840690605,1.840690605
FUNCAT_clean_min_charges,,1.848570174,2.408356291,1.847678723,2.151665165,2.408356291,1.835375547,2.482612568,1.847678723,2.151665165,1.823582132,1.842935658
FUNCEX_clean_min_charges,2.435053108,2.4667983,2.60430412,2.413751999,2.666377183,2.360604246,2.641413119,2.46333228,2.600713114,2.425982042,2.534124163,2.677235211
GACQAE_clean_min_charges,1.22400289,1.196584607,1.145883283,1.269885293,1.269885293,1.199203584,1.160070138,1.18842862,1.18842862,1.169071265,1.196584607,1.169071265
GALCED_clean_min_charges,1.261996085,3.354130445,3.023819801,3.055502558,2.941933846,4.01291085,2.976103832,4.261838338,3.055502558,2.955865598,2.858542133,3.761555045
GAXWEJ_clean_min_charges,1.088014814,1.834985271,1.878074197,1.05738018,2.052385525,2.238696584,1.320823942,1.990070706,1.990070706,1.936814985,2.09183407,2.038848778
GAYFUJ_clean_min_charges,1.665481865,1.549353086,1.632573029,1.218614318,1.366905134,1.420014543,1.788123638,1.518141092,1.307444148,1.468296477,1.445759304,1.42959477
GIDKOU_clean_min_charges,1.303655154,0.697249358,1.336346891,0.447389363,0.46943378,0.496961213,1.471712721,0.850254491,1.420594587,0.989418533,1.45317089,0.989418533
GIHBII_clean_min_charges,1.599998531,0.015716427,0.090900102,0.08017624,0.11799501,0.071877254,0.069583768,0.067547777,0.081413988,0.046776766,0.132911913,0.057159207
GIMSIG_clean_min_charges,2.905170623,3.118991185,,4.21673294,2.997247735,4.42324798,4.073823789,3.842977607,3.35672185,3.147228716,4.835701876,3.712952781
GINLIA_clean_min_charges,1.266766775,1.191246582,1.264677898,1.119567487,1.375836273,1.135816223,1.320431666,1.248292817,1.200761624,1.439166776,1.189809877,1.319252088
GITWIQ_clean_min_charges,1.916138392,1.976996509,1.797396008,2.446666084,2.024019056,2.014382401,1.697450545,2.014382401,2.014382401,2.596663356,1.697450545,2.216738501
GIZJOP_clean_min_charges,4.705552711,2.126580767,2.90619837,2.284667043,2.091627225,2.266016525,1.845840874,2.266016525,2.230985192,1.813076696,2.282183907,2.126580767
GOMRAC_clean_min_charges,1.226665901,1.282610585,,1.047618464,,1.111110469,1.011766529,1.282050512,1.047618464,1.174999312,1.324674519,1.368437495
GOMREG_clean_min_charges,1.236025583,1.047618464,0.942528228,0.953487853,1.305665296,0.813186395,1.077340309,1.240758457,1.342104436,1.174999312,1.324674519,1.135801812
GULPIN_clean_min_charges,0.952587649,0.965500486,1.045051553,1.266991977,1.050042434,1.423532608,0.96062233,1.137884969,0.893544492,0.879223563,1.208919988,1.441354939
GUWDUY_clean_min_charges,2.968361182,2.179786755,,2.247327619,2.037411312,2.093312216,2.711193117,2.202830418,2.292841071,2.026400017,2.045038804,1.964565262
GUXLIU_clean_min_charges,0,0.003192652,0.015801204,0.003192652,0.003192652,0.015801204,0.008030555,0.015801204,0.003192652,0.003192652,0.008030555,0.003192652
GUYLUI01_clean_min_charges,0.926976939,0.945081349,1.177334807,1.800721255,0.945081349,0.66820081,0.945081349,0.377936041,0.377936041,0.945081349,0.945081349,0.945081349
GUYLUI_clean_min_charges,1.173150398,0.305849987,0.304504619,0.604385097,0.437861065,0.604385097,0.432554899,0.604385097,0.604385097,0.424180484,0.182998381,0.354660367
HABRIN_clean_min_charges,0.077598359,0.497037028,0.376559103,0.174747481,0.59339795,0.311801692,0.636963726,0.311801692,0.361994655,0.59339795,0.497037028,0.59339795
HAFQUC_clean_min_charges,1.624114876,1.992311822,1.633908844,1.13671334,1.13671334,1.175042748,1.188434821,1.13671334,1.13671334,1.451019909,1.774190408,1.227793218
HAKWUM_clean_min_charges,0,0.157177532,0.452966265,0.457514219,0.457514219,0.125227163,0.157177532,0.239895796,0.457514219,0.457514219,0.157177532,0.457514219
HAMJOW_clean_min_charges,1.703153212,2.021393307,1.776372257,1.64878511,1.64878511,1.734461963,1.834852546,1.914153862,1.64878511,1.502695962,1.735294714,1.502695962
HEGJUZ_clean_min_charges,1.442636206,1.980170222,2.441313502,2.110867171,2.184828094,2.441313502,1.980170222,2.441313502,2.441313502,1.534997477,1.980170222,1.461552649
HICVUM_clean_min_charges,1.942915559,0.983826861,1.097403729,1.173204661,1.108314232,1.015468992,1.157751965,0.93379882,0.93379882,1.160247096,1.136440321,1.124895747
HIFTOG01_clean_min_charges,2.419538164,1.25569254,1.284084825,1.287544913,1.258404068,1.269454578,1.266711592,1.285497584,1.287544913,1.260964592,1.263249171,1.25738305
